"Year","Month","Hospital","Specialty","TotalPatients"
2014,"Jan","Connolly Hospital","Rheumatology",514
2014,"Jan","Connolly Hospital","Urology",231
2014,"Jan","Cork University Hospital","Breast Surgery",717
2014,"Jan","Cork University Hospital","Cardio-Thoracic Surgery",59
2014,"Jan","Cork University Hospital","Cardiology",857
2014,"Jan","Cork University Hospital","Dermatology",55
2014,"Jan","Cork University Hospital","Diabetes Mellitus",382
2014,"Jan","Cork University Hospital","Endocrinology",304
2014,"Jan","Cork University Hospital","Gastro-Enterology",642
2014,"Jan","Cork University Hospital","General Medicine",36
2014,"Jan","Cork University Hospital","General Surgery",1036
2014,"Jan","Cork University Hospital","Geriatric Medicine",132
2014,"Jan","Cork University Hospital","Gynaecology",2702
2014,"Jan","Cork University Hospital","Infectious Diseases",12
2014,"Jan","Cork University Hospital","Maxillo-Facial",3
2014,"Jan","Cork University Hospital","Nephrology",176
2014,"Jan","Cork University Hospital","Neurology",579
2014,"Jan","Cork University Hospital","Neurosurgery",1378
2014,"Jan","Cork University Hospital","Oncology",1
2014,"Jan","Cork University Hospital","Ophthalmology",2396
2014,"Jan","Cork University Hospital","Orthopaedics",127
2014,"Jan","Cork University Hospital","Otolaryngology (ENT)",100
2014,"Jan","Cork University Hospital","Paed Cardiology",179
2014,"Jan","Cork University Hospital","Paed Endocrinology",50
2014,"Jan","Cork University Hospital","Paediatric Neurology",208
2014,"Jan","Cork University Hospital","Paediatric Neurosurgery",12
2014,"Jan","Cork University Hospital","Paediatric Respiratory Medicine",23
2014,"Jan","Cork University Hospital","Paediatrics",1082
2014,"Jan","Cork University Hospital","Plastic Surgery",936
2014,"Jan","Cork University Hospital","Respiratory Medicine",399
2014,"Jan","Cork University Hospital","Rheumatology",960
2014,"Jan","Cork University Hospital","Small Volume Specialities",1
2014,"Jan","Cork University Hospital","Urology",678
2014,"Jan","Cork University Hospital","Vascular Surgery",402
2014,"Jan","Croom Orthopaedic Hospital","Orthopaedics",1993
2014,"Jan","Croom Orthopaedic Hospital","Rheumatology",182
2014,"Jan","Ennis Hospital","Dermatology",25
2014,"Jan","Ennis Hospital","Gastro-Enterology",102
2014,"Jan","Ennis Hospital","General Medicine",471
2014,"Jan","Ennis Hospital","General Surgery",676
2014,"Jan","Ennis Hospital","Gynaecology",201
2014,"Jan","Ennis Hospital","Otolaryngology (ENT)",334
2014,"Jan","Ennis Hospital","Paediatrics",148
2014,"Jan","Ennis Hospital","Plastic Surgery",278
2014,"Jan","Ennis Hospital","Rheumatology",110
2014,"Jan","Galway University Hospital","Anaesthetics",299
2014,"Jan","Galway University Hospital","Cardio-Thoracic Surgery",8
2014,"Jan","Galway University Hospital","Cardiology",864
2014,"Jan","Galway University Hospital","Clinical Pharmacology",8
2014,"Jan","Galway University Hospital","Dermatology",1158
2014,"Jan","Galway University Hospital","Endocrinology",1
2014,"Jan","Galway University Hospital","Gastro-Enterology",422
2014,"Jan","Galway University Hospital","General Medicine",911
2014,"Jan","Galway University Hospital","General Surgery",1625
2014,"Jan","Galway University Hospital","Geriatric Medicine",77
2014,"Jan","Galway University Hospital","Gynaecology",1618
2014,"Jan","Galway University Hospital","Haematology",241
2014,"Jan","Galway University Hospital","Nephrology",200
2014,"Jan","Galway University Hospital","Neurology",979
2014,"Jan","Galway University Hospital","Oncology",19
2014,"Jan","Galway University Hospital","Ophthalmology",1550
2014,"Jan","Galway University Hospital","Oral Surgery",1054
2014,"Jan","Galway University Hospital","Orthopaedics",3735
2014,"Jan","Galway University Hospital","Otolaryngology (ENT)",2047
2014,"Jan","Galway University Hospital","Paediatrics",860
2014,"Jan","Galway University Hospital","Pathology",13
2014,"Jan","Galway University Hospital","Plastic Surgery",1584
2014,"Jan","Galway University Hospital","Respiratory Medicine",399
2014,"Jan","Galway University Hospital","Rheumatology",709
2014,"Jan","Galway University Hospital","Urology",1953
2014,"Jan","Galway University Hospital","Vascular Surgery",1160
2014,"Jan","Kerry General Hospital","Dermatology",299
2014,"Jan","Kerry General Hospital","Diabetes Mellitus",92
2014,"Jan","Kerry General Hospital","Endocrinology",61
2014,"Jan","Kerry General Hospital","General Medicine",286
2014,"Jan","Kerry General Hospital","General Surgery",1235
2014,"Jan","Kerry General Hospital","Geriatric Medicine",71
2014,"Jan","Kerry General Hospital","Gynaecology",649
2014,"Jan","Kerry General Hospital","Nephrology",8
2014,"Jan","Kerry General Hospital","Neurology",219
2014,"Jan","Kerry General Hospital","Orthopaedics",1327
2014,"Jan","Kerry General Hospital","Otolaryngology (ENT)",891
2014,"Jan","Kerry General Hospital","Paediatrics",221
2014,"Jan","Kerry General Hospital","Plastic Surgery",93
2014,"Jan","Kerry General Hospital","Rheumatology",226
2014,"Jan","Letterkenny General Hospital","Anaesthetics",70
2014,"Jan","Letterkenny General Hospital","Cardiology",475
2014,"Jan","Letterkenny General Hospital","Dermatology",466
2014,"Jan","Letterkenny General Hospital","General Medicine",1588
2014,"Jan","Letterkenny General Hospital","General Surgery",2184
2014,"Jan","Letterkenny General Hospital","Geriatric Medicine",187
2014,"Jan","Letterkenny General Hospital","Gynaecology",910
2014,"Jan","Letterkenny General Hospital","Haematology",81
2014,"Jan","Letterkenny General Hospital","Maxillo-Facial",313
2014,"Jan","Letterkenny General Hospital","Nephrology",96
2014,"Jan","Letterkenny General Hospital","Neurology",210
2014,"Jan","Letterkenny General Hospital","Oncology",37
2014,"Jan","Letterkenny General Hospital","Orthopaedics",2306
2014,"Jan","Letterkenny General Hospital","Otolaryngology (ENT)",1661
2014,"Jan","Letterkenny General Hospital","Paediatrics",381
2014,"Jan","Louth County Hospital","Endocrinology",250
2014,"Jan","Louth County Hospital","General Medicine",187
2014,"Jan","Louth County Hospital","General Surgery",68
2014,"Jan","Louth County Hospital","Geriatric Medicine",150
2014,"Jan","Louth County Hospital","Gynaecology",201
2014,"Jan","Louth County Hospital","Ophthalmology",43
2014,"Jan","Louth County Hospital","Orthopaedics",464
2014,"Jan","Louth County Hospital","Paediatrics",43
2014,"Jan","Louth County Hospital","Urology",48
2014,"Jan","Mallow General Hospital","General Medicine",791
2014,"Jan","Mallow General Hospital","General Surgery",641
2014,"Jan","Mallow General Hospital","Geriatric Medicine",66
2014,"Jan","Mallow General Hospital","Otolaryngology (ENT)",438
2014,"Jan","Mater Misericordiae University Hospital","Cardio-Thoracic Surgery",100
2014,"Jan","Mater Misericordiae University Hospital","Cardiology",1242
2014,"Jan","Mater Misericordiae University Hospital","Clinical (Medical) Genetics",191
2014,"Jan","Mater Misericordiae University Hospital","Clinical Neurophysiology",2
2014,"Jan","Mater Misericordiae University Hospital","Dermatology",2487
2014,"Jan","Mater Misericordiae University Hospital","Endocrinology",557
2014,"Jan","Mater Misericordiae University Hospital","Gastro-Enterology",1455
2014,"Jan","Mater Misericordiae University Hospital","General Medicine",55
2014,"Jan","Mater Misericordiae University Hospital","General Surgery",3313
2014,"Jan","Mater Misericordiae University Hospital","Geriatric Medicine",274
2014,"Jan","Mater Misericordiae University Hospital","Gynaecology",306
2014,"Jan","Mater Misericordiae University Hospital","Haematology",438
2014,"Jan","Mater Misericordiae University Hospital","Immunology",1
2014,"Jan","Mater Misericordiae University Hospital","Infectious Diseases",31
2014,"Jan","Mater Misericordiae University Hospital","Metabolic Medicine",144
2014,"Jan","Mater Misericordiae University Hospital","Nephrology",154
2014,"Jan","Mater Misericordiae University Hospital","Neurology",1236
2014,"Jan","Mater Misericordiae University Hospital","Oncology",85
2014,"Jan","Mater Misericordiae University Hospital","Ophthalmology",1632
2014,"Jan","Mater Misericordiae University Hospital","Orthopaedics",2250
2014,"Jan","Mater Misericordiae University Hospital","Otolaryngology (ENT)",1636
2014,"Jan","Mater Misericordiae University Hospital","Pain Relief",424
2014,"Jan","Mater Misericordiae University Hospital","Plastic Surgery",1288
2014,"Jan","Mater Misericordiae University Hospital","Psychiatry",85
2014,"Jan","Mater Misericordiae University Hospital","Radiology",1
2014,"Jan","Mater Misericordiae University Hospital","Respiratory Medicine",487
2014,"Jan","Mater Misericordiae University Hospital","Rheumatology",676
2014,"Jan","Mater Misericordiae University Hospital","Small Volume Specialities",1
2014,"Jan","Mater Misericordiae University Hospital","Urology",1283
2014,"Jan","Mayo General Hospital","Dermatology",402
2014,"Jan","Mayo General Hospital","Endocrinology",13
2014,"Jan","Mayo General Hospital","General Medicine",929
2014,"Jan","Mayo General Hospital","General Surgery",864
2014,"Jan","Mayo General Hospital","Geriatric Medicine",1
2014,"Jan","Mayo General Hospital","Gynaecology",83
2014,"Jan","Mayo General Hospital","Haematology",8
2014,"Jan","Mayo General Hospital","Nephrology",207
2014,"Jan","Mayo General Hospital","Oncology",7
2014,"Jan","Mayo General Hospital","Orthopaedics",617
2014,"Jan","Mayo General Hospital","Otolaryngology (ENT)",970
2014,"Jan","Mayo General Hospital","Paediatrics",226
2014,"Jan","Mayo General Hospital","Urology",155
2014,"Jan","Mercy University Hospital","Cardiology",632
2014,"Jan","Mercy University Hospital","Endocrinology",38
2014,"Jan","Mercy University Hospital","Gastro-Enterology",533
2014,"Jan","Mercy University Hospital","Gastro-Intestinal Surgery",167
2014,"Jan","Mercy University Hospital","General Medicine",65
2014,"Jan","Mercy University Hospital","General Surgery",575
2014,"Jan","Mercy University Hospital","Geriatric Medicine",66
2014,"Jan","Mercy University Hospital","Haematology",83
2014,"Jan","Mercy University Hospital","Hepato-Biliary Surgery",47
2014,"Jan","Mercy University Hospital","Infectious Diseases",3
2014,"Jan","Mercy University Hospital","Nephrology",9
2014,"Jan","Mercy University Hospital","Neurology",262
2014,"Jan","Mercy University Hospital","Oncology",7
2014,"Jan","Mercy University Hospital","Ophthalmology",33
2014,"Jan","Mercy University Hospital","Paediatric Neurology",53
2014,"Jan","Mercy University Hospital","Paediatrics",213
2014,"Jan","Mercy University Hospital","Pain Relief",347
2014,"Jan","Mercy University Hospital","Respiratory Medicine",323
2014,"Jan","Mercy University Hospital","Small Volume Specialities",1
2014,"Jan","Mercy University Hospital","Urology",963
2014,"Jan","Mercy University Hospital","Vascular Surgery",389
2014,"Jan","Midland Regional Hospital Mullingar","Anaesthetics",4
2014,"Jan","Midland Regional Hospital Mullingar","Dermatology",1295
2014,"Jan","Midland Regional Hospital Mullingar","General Medicine",1093
2014,"Jan","Midland Regional Hospital Mullingar","General Surgery",1777
2014,"Jan","Midland Regional Hospital Mullingar","Gynaecology",668
2014,"Jan","Midland Regional Hospital Mullingar","Haematology",123
2014,"Jan","Midland Regional Hospital Mullingar","Obstetrics",213
2014,"Jan","Midland Regional Hospital Mullingar","Ophthalmology",279
2014,"Jan","Midland Regional Hospital Mullingar","Orthopaedics",195
2014,"Jan","Midland Regional Hospital Mullingar","Paediatrics",481
2014,"Jan","Midland Regional Hospital Portlaoise","Cardiology",169
2014,"Jan","Midland Regional Hospital Portlaoise","Diabetes Mellitus",15
2014,"Jan","Midland Regional Hospital Portlaoise","Endocrinology",51
2014,"Jan","Midland Regional Hospital Portlaoise","General Medicine",148
2014,"Jan","Midland Regional Hospital Portlaoise","General Surgery",1020
2014,"Jan","Midland Regional Hospital Portlaoise","Gynaecology",677
2014,"Jan","Midland Regional Hospital Portlaoise","Haematology",31
2014,"Jan","Midland Regional Hospital Portlaoise","Ophthalmology",208
2014,"Jan","Midland Regional Hospital Portlaoise","Paediatrics",397
2014,"Jan","Midland Regional Hospital Portlaoise","Pain Relief",46
2014,"Jan","Midland Regional Hospital Portlaoise","Urology",425
2014,"Jan","Midland Regional Hospital Tullamore","General Medicine",824
2014,"Jan","Midland Regional Hospital Tullamore","General Surgery",294
2014,"Jan","Midland Regional Hospital Tullamore","Gynaecology",147
2014,"Jan","Midland Regional Hospital Tullamore","Haematology",219
2014,"Jan","Midland Regional Hospital Tullamore","Nephrology",160
2014,"Jan","Midland Regional Hospital Tullamore","Oncology",13
2014,"Jan","Midland Regional Hospital Tullamore","Ophthalmology",63
2014,"Jan","Midland Regional Hospital Tullamore","Orthopaedics",2550
2014,"Jan","Midland Regional Hospital Tullamore","Otolaryngology (ENT)",3182
2014,"Jan","Midland Regional Hospital Tullamore","Paediatrics",47
2014,"Jan","Midland Regional Hospital Tullamore","Rheumatology",616
2014,"Jan","Midland Regional Hospital Tullamore","Vascular Surgery",639
2014,"Jan","Naas General Hospital","Anaesthetics",88
2014,"Jan","Naas General Hospital","Cardiology",715
2014,"Jan","Naas General Hospital","Dermatology",875
2014,"Jan","Naas General Hospital","Gastro-Enterology",8
2014,"Jan","Naas General Hospital","General Medicine",989
2014,"Jan","Naas General Hospital","General Surgery",784
2014,"Jan","Naas General Hospital","Geriatric Medicine",95
2014,"Jan","Naas General Hospital","Oncology",2
2014,"Jan","Naas General Hospital","Orthopaedics",1099
2014,"Jan","Nenagh Hospital","Dermatology",35
2014,"Jan","Nenagh Hospital","General Medicine",256
2014,"Jan","Nenagh Hospital","General Surgery",600
2014,"Jan","Nenagh Hospital","Geriatric Medicine",22
2014,"Jan","Nenagh Hospital","Gynaecology",153
2014,"Jan","Nenagh Hospital","Maxillo-Facial",16
2014,"Jan","Nenagh Hospital","Otolaryngology (ENT)",462
2014,"Jan","Nenagh Hospital","Paediatrics",62
2014,"Jan","Nenagh Hospital","Rheumatology",151
2014,"Jan","Nenagh Hospital","Urology",2
2014,"Jan","Our Lady of Lourdes Hospital Drogheda","Cardiology",736
2014,"Jan","Our Lady of Lourdes Hospital Drogheda","Dermatology",1688
2014,"Jan","Our Lady of Lourdes Hospital Drogheda","General Medicine",545
2014,"Jan","Our Lady of Lourdes Hospital Drogheda","General Surgery",751
2014,"Jan","Our Lady of Lourdes Hospital Drogheda","Gynaecology",966
2014,"Jan","Our Lady of Lourdes Hospital Drogheda","Haematology",131
2014,"Jan","Our Lady of Lourdes Hospital Drogheda","Nephrology",30
2014,"Jan","Our Lady of Lourdes Hospital Drogheda","Ophthalmology",455
2014,"Jan","Our Lady of Lourdes Hospital Drogheda","Orthopaedics",135
2014,"Jan","Our Lady of Lourdes Hospital Drogheda","Other",519
2014,"Jan","Our Lady of Lourdes Hospital Drogheda","Otolaryngology (ENT)",1344
2014,"Jan","Our Lady of Lourdes Hospital Drogheda","Paediatrics",770
2014,"Jan","Our Lady of Lourdes Hospital Drogheda","Urology",362
2014,"Jan","Our Lady's Children's Hospital Crumlin","Cardio-Thoracic Surgery",29
2014,"Jan","Our Lady's Children's Hospital Crumlin","Dental Surgery",75
2014,"Jan","Our Lady's Children's Hospital Crumlin","Dermatology",1039
2014,"Jan","Our Lady's Children's Hospital Crumlin","Diabetes Mellitus",1
2014,"Jan","Our Lady's Children's Hospital Crumlin","General Medicine",620
2014,"Jan","Our Lady's Children's Hospital Crumlin","General Surgery",1652
2014,"Jan","Our Lady's Children's Hospital Crumlin","Infectious Diseases",60
2014,"Jan","Our Lady's Children's Hospital Crumlin","Neonatology",12
2014,"Jan","Our Lady's Children's Hospital Crumlin","Neurology",479
2014,"Jan","Our Lady's Children's Hospital Crumlin","Ophthalmology",1279
2014,"Jan","Our Lady's Children's Hospital Crumlin","Orthopaedics",1228
2014,"Jan","Our Lady's Children's Hospital Crumlin","Otolaryngology (ENT)",536
2014,"Jan","Our Lady's Children's Hospital Crumlin","Paed Cardiology",2680
2014,"Jan","Our Lady's Children's Hospital Crumlin","Paed Endocrinology",142
2014,"Jan","Our Lady's Children's Hospital Crumlin","Paed Gastro-Enterol",276
2014,"Jan","Our Lady's Children's Hospital Crumlin","Paed Haematology",140
2014,"Jan","Our Lady's Children's Hospital Crumlin","Paed Nephrology",233
2014,"Jan","Our Lady's Children's Hospital Crumlin","Paed Oncology",1
2014,"Jan","Our Lady's Children's Hospital Crumlin","Paediatrics",195
2014,"Jan","Our Lady's Children's Hospital Crumlin","Plastic Surgery",531
2014,"Jan","Our Lady's Children's Hospital Crumlin","Respiratory Medicine",293
2014,"Jan","Our Lady's Children's Hospital Crumlin","Rheumatology",282
2014,"Jan","Our Lady's Children's Hospital Crumlin","Urology",181
2014,"Jan","Our Lady's Hospital Navan","General Medicine",1182
2014,"Jan","Our Lady's Hospital Navan","General Surgery",820
2014,"Jan","Our Lady's Hospital Navan","Gynaecology",285
2014,"Jan","Our Lady's Hospital Navan","Orthopaedics",1510
2014,"Jan","Our Lady's Hospital Navan","Paediatrics",8
2014,"Jan","Our Lady's Hospital Navan","Rheumatology",402
2014,"Jan","Portiuncula Hospital","Anaesthetics",169
2014,"Jan","Portiuncula Hospital","Cardiology",8
2014,"Jan","Portiuncula Hospital","Clinical Neurophysiology",66
2014,"Jan","Portiuncula Hospital","Dermatology",223
2014,"Jan","Portiuncula Hospital","Endocrinology",128
2014,"Jan","Portiuncula Hospital","General Medicine",441
2014,"Jan","Portiuncula Hospital","General Surgery",317
2014,"Jan","Portiuncula Hospital","Gynaecology",707
2014,"Jan","Portiuncula Hospital","Orthopaedics",282
2014,"Jan","Portiuncula Hospital","Paediatrics",321
2014,"Jan","Portiuncula Hospital","Urology",361
2014,"Jan","Roscommon Hospital","Endocrinology",69
2014,"Jan","Roscommon Hospital","General Medicine",293
2014,"Jan","Roscommon Hospital","General Surgery",62
2014,"Jan","Roscommon Hospital","Gynaecology",16
2014,"Jan","Roscommon Hospital","Orthopaedics",599
2014,"Jan","Roscommon Hospital","Otolaryngology (ENT)",341
2014,"Jan","Roscommon Hospital","Plastic Surgery",81
2014,"Jan","Roscommon Hospital","Respiratory Medicine",2
2014,"Jan","Roscommon Hospital","Urology",136
2014,"Jan","Royal Victoria Eye and Ear Hospital","Ophthalmology",4801
2014,"Jan","Royal Victoria Eye and Ear Hospital","Otolaryngology (ENT)",2127
2014,"Jan","Sligo Regional Hospital","Dermatology",635
2014,"Jan","Sligo Regional Hospital","Endocrinology",182
2014,"Jan","Sligo Regional Hospital","General Medicine",968
2014,"Jan","Sligo Regional Hospital","General Surgery",1209
2014,"Jan","Sligo Regional Hospital","Gynaecology",378
2014,"Jan","Sligo Regional Hospital","Haematology",53
2014,"Jan","Sligo Regional Hospital","Immunology",53
2014,"Jan","Sligo Regional Hospital","Maxillo-Facial",153
2014,"Jan","Sligo Regional Hospital","Nephrology",115
2014,"Jan","Sligo Regional Hospital","Neurology",278
2014,"Jan","Sligo Regional Hospital","Oncology",17
2014,"Jan","Sligo Regional Hospital","Ophthalmology",1356
2014,"Jan","Sligo Regional Hospital","Orthopaedics",1230
2014,"Jan","Sligo Regional Hospital","Otolaryngology (ENT)",1354
2014,"Jan","Sligo Regional Hospital","Paediatrics",305
2014,"Jan","Sligo Regional Hospital","Pain Relief",219
2014,"Jan","Sligo Regional Hospital","Radiotherapy",14
2014,"Jan","Sligo Regional Hospital","Rheumatology",488
2014,"Jan","Sligo Regional Hospital","Urology",362
2014,"Jan","South Infirmary Victoria University Hospital","Dermatology",3020
2014,"Jan","South Infirmary Victoria University Hospital","Endocrinology",247
2014,"Jan","South Infirmary Victoria University Hospital","General Surgery",829
2014,"Jan","South Infirmary Victoria University Hospital","Maxillo-Facial",225
2014,"Jan","South Infirmary Victoria University Hospital","Oncology",10
2014,"Jan","South Infirmary Victoria University Hospital","Ophthalmology",5
2014,"Jan","South Infirmary Victoria University Hospital","Orthopaedics",3193
2014,"Jan","South Infirmary Victoria University Hospital","Otolaryngology (ENT)",3516
2014,"Jan","South Infirmary Victoria University Hospital","Pain Relief",755
2014,"Jan","South Infirmary Victoria University Hospital","Palliative Medicine",1
2014,"Jan","South Infirmary Victoria University Hospital","Plastic Surgery",1286
2014,"Jan","South Infirmary Victoria University Hospital","Rheumatology",440
2014,"Jan","South Infirmary Victoria University Hospital","Small Volume Specialities",1
2014,"Jan","South Tipperary General Hospital","General Medicine",785
2014,"Jan","South Tipperary General Hospital","General Surgery",660
2014,"Jan","South Tipperary General Hospital","Geriatric Medicine",2
2014,"Jan","South Tipperary General Hospital","Gynaecology",256
2014,"Jan","South Tipperary General Hospital","Orthopaedics",6
2014,"Jan","South Tipperary General Hospital","Paediatrics",156
2014,"Jan","South Tipperary General Hospital","Small Volume Specialities",2
2014,"Jan","St. Columcille's Hospital","Anaesthetics",17
2014,"Jan","St. Columcille's Hospital","Cardiology",344
2014,"Jan","St. Columcille's Hospital","Endocrinology",1157
2014,"Jan","St. Columcille's Hospital","General Medicine",12
2014,"Jan","St. Columcille's Hospital","General Surgery",240
2014,"Jan","St. Columcille's Hospital","Geriatric Medicine",28
2014,"Jan","St. Columcille's Hospital","Gynaecology",11
2014,"Jan","St. Columcille's Hospital","Haematology",1
2014,"Jan","St. Columcille's Hospital","Ophthalmology",80
2014,"Jan","St. Columcille's Hospital","Orthopaedics",6
2014,"Jan","St. Columcille's Hospital","Other",2
2014,"Jan","St. Columcille's Hospital","Pain Relief",97
2014,"Jan","St. Columcille's Hospital","Urology",135
2014,"Jan","St. Columcille's Hospital","Vascular Surgery",41
2014,"Jan","St. James's Hospital","Cardio-Thoracic Surgery",61
2014,"Jan","St. James's Hospital","Cardiology",414
2014,"Jan","St. James's Hospital","Clinical (Medical) Genetics",193
2014,"Jan","St. James's Hospital","Clinical Immunology",82
2014,"Jan","St. James's Hospital","Dermatology",785
2014,"Jan","St. James's Hospital","Diabetes Mellitus",161
2014,"Jan","St. James's Hospital","Endocrinology",238
2014,"Jan","St. James's Hospital","Gastro-Enterology",430
2014,"Jan","St. James's Hospital","General Medicine",69
2014,"Jan","St. James's Hospital","General Surgery",1234
2014,"Jan","St. James's Hospital","Geriatric Medicine",168
2014,"Jan","St. James's Hospital","Gynaecology",54
2014,"Jan","St. James's Hospital","Haematology",190
2014,"Jan","St. James's Hospital","Infectious Diseases",27
2014,"Jan","St. James's Hospital","Maxillo-Facial",417
2014,"Jan","St. James's Hospital","Nephrology",45
2014,"Jan","St. James's Hospital","Neurology",304
2014,"Jan","St. James's Hospital","Oncology",24
2014,"Jan","St. James's Hospital","Ophthalmology",164
2014,"Jan","St. James's Hospital","Orthopaedics",1076
2014,"Jan","St. James's Hospital","Otolaryngology (ENT)",374
2014,"Jan","St. James's Hospital","Pain Relief",227
2014,"Jan","St. James's Hospital","Palliative Medicine",12
2014,"Jan","St. James's Hospital","Plastic Surgery",1305
2014,"Jan","St. James's Hospital","Psychiatry",77
2014,"Jan","St. James's Hospital","Radiotherapy",21
2014,"Jan","St. James's Hospital","Respiratory Medicine",249
2014,"Jan","St. James's Hospital","Rheumatology",202
2014,"Jan","St. James's Hospital","Urology",823
2014,"Jan","St. James's Hospital","Vascular Surgery",401
2014,"Jan","St. John's Hospital Limerick","General Medicine",146
2014,"Jan","St. John's Hospital Limerick","General Surgery",220
2014,"Jan","St. John's Hospital Limerick","Gynaecology",349
2014,"Jan","St. John's Hospital Limerick","Other",10
