"Year","Hospital","Month","TotalPatients"
2014,"Louth County Hospital","Apr",1574
2014,"Louth County Hospital","May",1786
2014,"Louth County Hospital","Jun",1803
2014,"Louth County Hospital","Jul",1885
2014,"Louth County Hospital","Aug",1993
2014,"Louth County Hospital","Sep",1977
2014,"Louth County Hospital","Oct",2513
2014,"Louth County Hospital","Nov",2018
2014,"Louth County Hospital","Dec",1981
2014,"Mallow General Hospital","Jan",1936
2014,"Mallow General Hospital","Feb",2068
2014,"Mallow General Hospital","Mar",2085
2014,"Mallow General Hospital","Apr",2105
2014,"Mallow General Hospital","May",2088
2014,"Mallow General Hospital","Jun",2079
2014,"Mallow General Hospital","Jul",2115
2014,"Mallow General Hospital","Aug",2123
2014,"Mallow General Hospital","Sep",2444
2014,"Mallow General Hospital","Oct",2486
2014,"Mallow General Hospital","Nov",2460
2014,"Mallow General Hospital","Dec",2426
2014,"Mater Misericordiae University Hospital","Jan",21834
2014,"Mater Misericordiae University Hospital","Feb",21074
2014,"Mater Misericordiae University Hospital","Mar",20835
2014,"Mater Misericordiae University Hospital","Apr",19470
2014,"Mater Misericordiae University Hospital","May",18589
2014,"Mater Misericordiae University Hospital","Jun",18097
2014,"Mater Misericordiae University Hospital","Jul",18678
2014,"Mater Misericordiae University Hospital","Aug",18949
2014,"Mater Misericordiae University Hospital","Sep",19394
2014,"Mater Misericordiae University Hospital","Oct",19812
2014,"Mater Misericordiae University Hospital","Nov",20644
2014,"Mater Misericordiae University Hospital","Dec",21491
2014,"Mayo General Hospital","Jan",4482
2014,"Mayo General Hospital","Feb",5387
2014,"Mayo General Hospital","Mar",5481
2014,"Mayo General Hospital","Apr",5577
2014,"Mayo General Hospital","May",5749
2014,"Mayo General Hospital","Jun",5590
2014,"Mayo General Hospital","Jul",5434
2014,"Mayo General Hospital","Aug",5514
2014,"Mayo General Hospital","Sep",5644
2014,"Mayo General Hospital","Oct",5583
2014,"Mayo General Hospital","Nov",5677
2014,"Mayo General Hospital","Dec",5734
2014,"Mercy University Hospital","Jan",4809
2014,"Mercy University Hospital","Feb",5001
2014,"Mercy University Hospital","Mar",5210
2014,"Mercy University Hospital","Apr",5280
2014,"Mercy University Hospital","May",5484
2014,"Mercy University Hospital","Jun",5508
2014,"Mercy University Hospital","Jul",5666
2014,"Mercy University Hospital","Aug",5821
2014,"Mercy University Hospital","Sep",5678
2014,"Mercy University Hospital","Oct",5554
2014,"Mercy University Hospital","Nov",5434
2014,"Mercy University Hospital","Dec",5425
2014,"Midland Regional Hospital Mullingar","Jan",6128
2014,"Midland Regional Hospital Mullingar","Feb",5995
2014,"Midland Regional Hospital Mullingar","Mar",6095
2014,"Midland Regional Hospital Mullingar","Apr",6080
2014,"Midland Regional Hospital Mullingar","May",6361
2014,"Midland Regional Hospital Mullingar","Jun",6274
2014,"Midland Regional Hospital Mullingar","Jul",6695
2014,"Midland Regional Hospital Mullingar","Aug",6748
2014,"Midland Regional Hospital Mullingar","Sep",7125
2014,"Midland Regional Hospital Mullingar","Oct",7196
2014,"Midland Regional Hospital Mullingar","Nov",7241
2014,"Midland Regional Hospital Mullingar","Dec",6268
2014,"Midland Regional Hospital Portlaoise","Jan",3187
2014,"Midland Regional Hospital Portlaoise","Feb",3373
2014,"Midland Regional Hospital Portlaoise","Mar",3407
2014,"Midland Regional Hospital Portlaoise","Apr",3504
2014,"Midland Regional Hospital Portlaoise","May",3660
2014,"Midland Regional Hospital Portlaoise","Jun",3756
2014,"Midland Regional Hospital Portlaoise","Jul",3893
2014,"Midland Regional Hospital Portlaoise","Aug",3985
2014,"Midland Regional Hospital Portlaoise","Sep",4015
2014,"Midland Regional Hospital Portlaoise","Oct",4027
2014,"Midland Regional Hospital Portlaoise","Nov",3971
2014,"Midland Regional Hospital Portlaoise","Dec",3398
2014,"Midland Regional Hospital Tullamore","Jan",8754
2014,"Midland Regional Hospital Tullamore","Feb",8957
2014,"Midland Regional Hospital Tullamore","Mar",9220
2014,"Midland Regional Hospital Tullamore","Apr",9901
2014,"Midland Regional Hospital Tullamore","May",10323
2014,"Midland Regional Hospital Tullamore","Jun",10780
2014,"Midland Regional Hospital Tullamore","Jul",10811
2014,"Midland Regional Hospital Tullamore","Aug",10666
2014,"Midland Regional Hospital Tullamore","Sep",11056
2014,"Midland Regional Hospital Tullamore","Oct",11558
2014,"Midland Regional Hospital Tullamore","Nov",11924
2014,"Midland Regional Hospital Tullamore","Dec",12034
2014,"Naas General Hospital","Jan",4655
2014,"Naas General Hospital","Feb",4794
2014,"Naas General Hospital","Mar",5006
2014,"Naas General Hospital","Apr",5083
2014,"Naas General Hospital","May",5085
2014,"Naas General Hospital","Jun",5313
2014,"Naas General Hospital","Jul",5390
2014,"Naas General Hospital","Aug",5288
2014,"Naas General Hospital","Sep",5187
2014,"Naas General Hospital","Oct",5266
2014,"Naas General Hospital","Nov",5063
2014,"Naas General Hospital","Dec",4881
2014,"Nenagh Hospital","Jan",1759
2014,"Nenagh Hospital","Feb",1905
2014,"Nenagh Hospital","Mar",1760
2014,"Nenagh Hospital","Apr",1611
2014,"Nenagh Hospital","May",1642
2014,"Nenagh Hospital","Jun",1580
2014,"Nenagh Hospital","Jul",1650
2014,"Nenagh Hospital","Aug",1698
2014,"Nenagh Hospital","Sep",1742
2014,"Nenagh Hospital","Oct",1654
2014,"Nenagh Hospital","Nov",1724
2014,"Nenagh Hospital","Dec",1748
2014,"Our Lady of Lourdes Hospital Drogheda","Jan",8432
2014,"Our Lady of Lourdes Hospital Drogheda","Feb",8976
2014,"Our Lady of Lourdes Hospital Drogheda","Mar",9083
2014,"Our Lady of Lourdes Hospital Drogheda","Apr",9283
2014,"Our Lady of Lourdes Hospital Drogheda","May",8496
2014,"Our Lady of Lourdes Hospital Drogheda","Jun",8870
2014,"Our Lady of Lourdes Hospital Drogheda","Jul",9262
2014,"Our Lady of Lourdes Hospital Drogheda","Aug",9704
2014,"Our Lady of Lourdes Hospital Drogheda","Sep",9760
2014,"Our Lady of Lourdes Hospital Drogheda","Oct",10037
2014,"Our Lady of Lourdes Hospital Drogheda","Nov",10583
2014,"Our Lady of Lourdes Hospital Drogheda","Dec",10598
2014,"Our Lady's Children's Hospital Crumlin","Jan",11964
2014,"Our Lady's Children's Hospital Crumlin","Feb",12155
2014,"Our Lady's Children's Hospital Crumlin","Mar",12237
2014,"Our Lady's Children's Hospital Crumlin","Apr",12690
2014,"Our Lady's Children's Hospital Crumlin","May",12756
2014,"Our Lady's Children's Hospital Crumlin","Jun",12809
2014,"Our Lady's Children's Hospital Crumlin","Jul",12911
2014,"Our Lady's Children's Hospital Crumlin","Aug",12929
2014,"Our Lady's Children's Hospital Crumlin","Sep",12591
2014,"Our Lady's Children's Hospital Crumlin","Oct",12311
2014,"Our Lady's Children's Hospital Crumlin","Nov",12119
2014,"Our Lady's Children's Hospital Crumlin","Dec",11849
2014,"Our Lady's Hospital Navan","Jan",4207
2014,"Our Lady's Hospital Navan","Feb",4155
2014,"Our Lady's Hospital Navan","Mar",4171
2014,"Our Lady's Hospital Navan","Apr",4216
2014,"Our Lady's Hospital Navan","May",3827
2014,"Our Lady's Hospital Navan","Jun",3754
2014,"Our Lady's Hospital Navan","Jul",3658
2014,"Our Lady's Hospital Navan","Aug",3757
2014,"Our Lady's Hospital Navan","Sep",3764
2014,"Our Lady's Hospital Navan","Oct",3958
2014,"Our Lady's Hospital Navan","Nov",3906
2014,"Our Lady's Hospital Navan","Dec",3902
2014,"Portiuncula Hospital","Jan",3023
2014,"Portiuncula Hospital","Feb",3167
2014,"Portiuncula Hospital","Mar",3175
2014,"Portiuncula Hospital","Apr",3243
2014,"Portiuncula Hospital","May",3213
2014,"Portiuncula Hospital","Jun",2951
2014,"Portiuncula Hospital","Jul",2987
2014,"Portiuncula Hospital","Aug",3082
2014,"Portiuncula Hospital","Sep",3199
2014,"Portiuncula Hospital","Oct",3235
2014,"Portiuncula Hospital","Nov",3345
2014,"Portiuncula Hospital","Dec",3225
2014,"Roscommon Hospital","Jan",1599
2014,"Roscommon Hospital","Feb",1969
2014,"Roscommon Hospital","Mar",2063
2014,"Roscommon Hospital","Apr",1952
2014,"Roscommon Hospital","May",2106
2014,"Roscommon Hospital","Jun",2054
2014,"Roscommon Hospital","Jul",2061
2014,"Roscommon Hospital","Aug",2035
2014,"Roscommon Hospital","Sep",2068
2014,"Roscommon Hospital","Oct",2042
2014,"Roscommon Hospital","Nov",2055
2014,"Roscommon Hospital","Dec",2049
2014,"Royal Victoria Eye and Ear Hospital","Jan",6928
2014,"Royal Victoria Eye and Ear Hospital","Feb",7233
2014,"Royal Victoria Eye and Ear Hospital","Mar",7604
2014,"Royal Victoria Eye and Ear Hospital","Apr",8000
2014,"Royal Victoria Eye and Ear Hospital","May",8282
2014,"Royal Victoria Eye and Ear Hospital","Jun",8301
2014,"Royal Victoria Eye and Ear Hospital","Jul",7860
2014,"Royal Victoria Eye and Ear Hospital","Aug",8872
2014,"Royal Victoria Eye and Ear Hospital","Sep",9216
2014,"Royal Victoria Eye and Ear Hospital","Oct",8681
2014,"Royal Victoria Eye and Ear Hospital","Nov",8738
2014,"Royal Victoria Eye and Ear Hospital","Dec",8632
2014,"Sligo Regional Hospital","Jan",9369
2014,"Sligo Regional Hospital","Feb",9758
2014,"Sligo Regional Hospital","Mar",9892
2014,"Sligo Regional Hospital","Apr",10230
2014,"Sligo Regional Hospital","May",10459
2014,"Sligo Regional Hospital","Jun",10670
2014,"Sligo Regional Hospital","Jul",10976
2014,"Sligo Regional Hospital","Aug",11080
2014,"Sligo Regional Hospital","Sep",11218
2014,"Sligo Regional Hospital","Oct",11363
2014,"Sligo Regional Hospital","Nov",11589
2014,"Sligo Regional Hospital","Dec",11847
2014,"South Infirmary Victoria University Hospital","Jan",13528
2014,"South Infirmary Victoria University Hospital","Feb",14157
2014,"South Infirmary Victoria University Hospital","Mar",14028
2014,"South Infirmary Victoria University Hospital","Apr",13946
2014,"South Infirmary Victoria University Hospital","May",14729
2014,"South Infirmary Victoria University Hospital","Jun",15253
2014,"South Infirmary Victoria University Hospital","Jul",17308
2014,"South Infirmary Victoria University Hospital","Aug",18204
2014,"South Infirmary Victoria University Hospital","Sep",19622
2014,"South Infirmary Victoria University Hospital","Oct",19873
2014,"South Infirmary Victoria University Hospital","Nov",20222
2014,"South Infirmary Victoria University Hospital","Dec",20012
2014,"South Tipperary General Hospital","Jan",1867
2014,"South Tipperary General Hospital","Feb",2055
2014,"South Tipperary General Hospital","Mar",1934
2014,"South Tipperary General Hospital","Apr",1978
2014,"South Tipperary General Hospital","May",1774
2014,"South Tipperary General Hospital","Jun",1705
2014,"South Tipperary General Hospital","Jul",2021
2014,"South Tipperary General Hospital","Aug",2422
2014,"South Tipperary General Hospital","Sep",2666
2014,"South Tipperary General Hospital","Oct",2726
2014,"South Tipperary General Hospital","Nov",2645
2014,"South Tipperary General Hospital","Dec",2652
2014,"St. Columcille's Hospital","Jan",2171
2014,"St. Columcille's Hospital","Feb",2229
2014,"St. Columcille's Hospital","Mar",2167
2014,"St. Columcille's Hospital","Apr",2191
2014,"St. Columcille's Hospital","May",2263
2014,"St. Columcille's Hospital","Jun",2163
2014,"St. Columcille's Hospital","Jul",2111
2014,"St. Columcille's Hospital","Aug",2132
2014,"St. Columcille's Hospital","Sep",2051
2014,"St. Columcille's Hospital","Oct",2155
2014,"St. Columcille's Hospital","Nov",2128
2014,"St. Columcille's Hospital","Dec",2093
2014,"St. James's Hospital","Jan",9827
2014,"St. James's Hospital","Feb",10009
2014,"St. James's Hospital","Mar",10360
2014,"St. James's Hospital","Apr",10471
2014,"St. James's Hospital","May",10531
2014,"St. James's Hospital","Jun",11059
2014,"St. James's Hospital","Jul",11146
2014,"St. James's Hospital","Aug",11235
2014,"St. James's Hospital","Sep",11319
2014,"St. James's Hospital","Oct",11322
2014,"St. James's Hospital","Nov",11428
2014,"St. James's Hospital","Dec",11337
2014,"St. John's Hospital Limerick","Jan",1078
2014,"St. John's Hospital Limerick","Feb",1056
2014,"St. John's Hospital Limerick","Mar",1058
2014,"St. John's Hospital Limerick","Apr",1043
2014,"St. John's Hospital Limerick","May",1102
2014,"St. John's Hospital Limerick","Jun",1127
2014,"St. John's Hospital Limerick","Jul",1144
2014,"St. John's Hospital Limerick","Aug",1225
2014,"St. John's Hospital Limerick","Sep",1225
2014,"St. John's Hospital Limerick","Oct",1323
2014,"St. John's Hospital Limerick","Nov",1297
2014,"St. John's Hospital Limerick","Dec",1337
2014,"St. Luke's General Hospital Kilkenny","Jan",2520
2014,"St. Luke's General Hospital Kilkenny","Feb",2520
2014,"St. Luke's General Hospital Kilkenny","Mar",2496
2014,"St. Luke's General Hospital Kilkenny","Apr",2340
2014,"St. Luke's General Hospital Kilkenny","May",2540
2014,"St. Luke's General Hospital Kilkenny","Jun",2755
2014,"St. Luke's General Hospital Kilkenny","Jul",2763
2014,"St. Luke's General Hospital Kilkenny","Aug",2550
2014,"St. Luke's General Hospital Kilkenny","Sep",2563
2014,"St. Luke's General Hospital Kilkenny","Oct",2569
2014,"St. Luke's General Hospital Kilkenny","Nov",2425
2014,"St. Luke's General Hospital Kilkenny","Dec",2401
2014,"St. Michael's Hospital Dun Laoghaire","Jan",2536
2014,"St. Michael's Hospital Dun Laoghaire","Feb",2596
2014,"St. Michael's Hospital Dun Laoghaire","Mar",2575
2014,"St. Michael's Hospital Dun Laoghaire","Apr",2603
2014,"St. Michael's Hospital Dun Laoghaire","May",2626
2014,"St. Michael's Hospital Dun Laoghaire","Jun",2622
2014,"St. Michael's Hospital Dun Laoghaire","Jul",2459
2014,"St. Michael's Hospital Dun Laoghaire","Aug",2430
2014,"St. Michael's Hospital Dun Laoghaire","Sep",2367
2014,"St. Michael's Hospital Dun Laoghaire","Oct",2307
2014,"St. Michael's Hospital Dun Laoghaire","Nov",2313
2014,"St. Michael's Hospital Dun Laoghaire","Dec",2281
2014,"St. Vincent's University Hospital","Jan",10587
2014,"St. Vincent's University Hospital","Feb",11079
2014,"St. Vincent's University Hospital","Mar",11689
2014,"St. Vincent's University Hospital","Apr",11802
2014,"St. Vincent's University Hospital","May",11864
2014,"St. Vincent's University Hospital","Jun",12316
2014,"St. Vincent's University Hospital","Jul",12871
2014,"St. Vincent's University Hospital","Aug",12635
2014,"St. Vincent's University Hospital","Sep",12894
2014,"St. Vincent's University Hospital","Oct",13149
2014,"St. Vincent's University Hospital","Nov",13409
2014,"St. Vincent's University Hospital","Dec",13153
2014,"Tallaght Hospital","Jan",21782
2014,"Tallaght Hospital","Feb",23088
2014,"Tallaght Hospital","Mar",24407
2014,"Tallaght Hospital","Apr",26804
2014,"Tallaght Hospital","May",28012
2014,"Tallaght Hospital","Jun",28500
2014,"Tallaght Hospital","Jul",29202
2014,"Tallaght Hospital","Aug",28620
2014,"Tallaght Hospital","Sep",28990
2014,"Tallaght Hospital","Oct",29403
2014,"Tallaght Hospital","Nov",29223
2014,"Tallaght Hospital","Dec",29255
2014,"University Hospital Limerick","Jan",11619
2014,"University Hospital Limerick","Feb",12039
2014,"University Hospital Limerick","Mar",12333
2014,"University Hospital Limerick","Apr",12755
2014,"University Hospital Limerick","May",13263
2014,"University Hospital Limerick","Jun",13907
2014,"University Hospital Limerick","Jul",14433
2014,"University Hospital Limerick","Aug",14770
2014,"University Hospital Limerick","Sep",15027
2014,"University Hospital Limerick","Oct",14797
2014,"University Hospital Limerick","Nov",14981
2014,"University Hospital Limerick","Dec",15072
2014,"University Hospital Waterford","Jan",17234
2014,"University Hospital Waterford","Feb",18808
2014,"University Hospital Waterford","Mar",20248
2014,"University Hospital Waterford","Apr",21314
2014,"University Hospital Waterford","May",22365
2014,"University Hospital Waterford","Jun",22246
2014,"University Hospital Waterford","Jul",25066
2014,"University Hospital Waterford","Aug",24028
2014,"University Hospital Waterford","Sep",25109
2014,"University Hospital Waterford","Oct",25860
2014,"University Hospital Waterford","Nov",26157
2014,"University Hospital Waterford","Dec",25207
2014,"Wexford General Hospital","Jan",2822
2014,"Wexford General Hospital","Feb",2904
2014,"Wexford General Hospital","Mar",2359
2014,"Wexford General Hospital","Apr",2806
2014,"Wexford General Hospital","May",2731
2014,"Wexford General Hospital","Jun",2782
2014,"Wexford General Hospital","Jul",2807
2014,"Wexford General Hospital","Aug",2633
2014,"Wexford General Hospital","Sep",2580
2014,"Wexford General Hospital","Oct",2575
2014,"Wexford General Hospital","Nov",2572
2014,"Wexford General Hospital","Dec",2583
2015,"Bantry General Hospital","Jan",1818
2015,"Bantry General Hospital","Feb",1792
2015,"Bantry General Hospital","Mar",1866
2015,"Bantry General Hospital","Apr",2059
2015,"Bantry General Hospital","May",2100
2015,"Bantry General Hospital","Jun",1411
2015,"Bantry General Hospital","Jul",1385
2015,"Bantry General Hospital","Aug",1478
2015,"Bantry General Hospital","Sep",1457
2015,"Bantry General Hospital","Oct",1579
2015,"Bantry General Hospital","Nov",1563
2015,"Bantry General Hospital","Dec",1545
2015,"Beaumont Hospital","Jan",23782
2015,"Beaumont Hospital","Feb",23723
2015,"Beaumont Hospital","Mar",23676
2015,"Beaumont Hospital","Apr",24615
2015,"Beaumont Hospital","May",24276
2015,"Beaumont Hospital","Jun",24592
2015,"Beaumont Hospital","Jul",25097
2015,"Beaumont Hospital","Aug",25493
2015,"Beaumont Hospital","Sep",25588
2015,"Beaumont Hospital","Oct",25248
2015,"Beaumont Hospital","Nov",24903
2015,"Beaumont Hospital","Dec",24309
2015,"Cappagh National Orthopaedic Hospital","Jan",1495
2015,"Cappagh National Orthopaedic Hospital","Feb",1640
2015,"Cappagh National Orthopaedic Hospital","Mar",1601
2015,"Cappagh National Orthopaedic Hospital","Apr",1588
2015,"Cappagh National Orthopaedic Hospital","May",1422
2015,"Cappagh National Orthopaedic Hospital","Jun",1480
2015,"Cappagh National Orthopaedic Hospital","Jul",1692
2015,"Cappagh National Orthopaedic Hospital","Aug",1717
2015,"Cappagh National Orthopaedic Hospital","Sep",1758
2015,"Cappagh National Orthopaedic Hospital","Oct",1794
2015,"Cappagh National Orthopaedic Hospital","Nov",1593
2015,"Cappagh National Orthopaedic Hospital","Dec",1547
2015,"Cavan General Hospital","Jan",7498
2015,"Cavan General Hospital","Feb",7459
2015,"Cavan General Hospital","Mar",7442
2015,"Cavan General Hospital","Apr",7629
2015,"Cavan General Hospital","May",7630
2015,"Cavan General Hospital","Jun",7413
2015,"Cavan General Hospital","Jul",7789
2015,"Cavan General Hospital","Aug",7622
2015,"Cavan General Hospital","Sep",7420
2015,"Cavan General Hospital","Oct",7247
2015,"Cavan General Hospital","Nov",7138
2015,"Cavan General Hospital","Dec",7121
2015,"Childrens University Hospital Temple Street","Jan",11693
2015,"Childrens University Hospital Temple Street","Feb",11662
2015,"Childrens University Hospital Temple Street","Mar",12915
2015,"Childrens University Hospital Temple Street","Apr",12459
2015,"Childrens University Hospital Temple Street","May",12703
2015,"Childrens University Hospital Temple Street","Jun",12556
2015,"Childrens University Hospital Temple Street","Jul",12362
2015,"Childrens University Hospital Temple Street","Aug",11589
2015,"Childrens University Hospital Temple Street","Sep",11189
2015,"Childrens University Hospital Temple Street","Oct",11139
2015,"Childrens University Hospital Temple Street","Nov",10911
2015,"Childrens University Hospital Temple Street","Dec",10546
2015,"Connolly Hospital","Jan",9335
2015,"Connolly Hospital","Feb",9563
2015,"Connolly Hospital","Mar",9810
2015,"Connolly Hospital","Apr",9852
2015,"Connolly Hospital","May",10155
2015,"Connolly Hospital","Jun",10225
2015,"Connolly Hospital","Jul",9664
2015,"Connolly Hospital","Aug",10055
2015,"Connolly Hospital","Sep",10473
2015,"Connolly Hospital","Oct",10420
2015,"Connolly Hospital","Nov",10535
2015,"Connolly Hospital","Dec",10480
2015,"Cork University Hospital","Jan",24614
2015,"Cork University Hospital","Feb",25171
2015,"Cork University Hospital","Mar",25956
2015,"Cork University Hospital","Apr",25517
2015,"Cork University Hospital","May",25904
2015,"Cork University Hospital","Jun",24664
2015,"Cork University Hospital","Jul",25350
2015,"Cork University Hospital","Aug",24507
2015,"Cork University Hospital","Sep",23778
2015,"Cork University Hospital","Oct",22636
2015,"Cork University Hospital","Nov",22774
2015,"Cork University Hospital","Dec",23391
2015,"Croom Orthopaedic Hospital","Jan",3651
2015,"Croom Orthopaedic Hospital","Feb",3735
2015,"Croom Orthopaedic Hospital","Mar",3824
2015,"Croom Orthopaedic Hospital","Apr",3954
2015,"Croom Orthopaedic Hospital","May",4042
2015,"Croom Orthopaedic Hospital","Jun",4067
2015,"Croom Orthopaedic Hospital","Jul",4198
2015,"Croom Orthopaedic Hospital","Aug",4243
2015,"Croom Orthopaedic Hospital","Sep",4144
2015,"Croom Orthopaedic Hospital","Oct",4267
2015,"Croom Orthopaedic Hospital","Nov",4201
2015,"Croom Orthopaedic Hospital","Dec",3839
2015,"Ennis Hospital","Jan",2602
2015,"Ennis Hospital","Feb",2555
2015,"Ennis Hospital","Mar",2382
2015,"Ennis Hospital","Apr",2344
2015,"Ennis Hospital","May",2204
2015,"Ennis Hospital","Jun",2135
2015,"Ennis Hospital","Jul",2204
2015,"Ennis Hospital","Aug",2288
2015,"Ennis Hospital","Sep",2152
2015,"Ennis Hospital","Oct",2114
2015,"Ennis Hospital","Nov",2115
2015,"Ennis Hospital","Dec",1990
