"Year","Month","Hospital","Age.Categorisation","TotalPatients"
2014,"Jan","Sligo Regional Hospital","65+",2572
2014,"Jan","South Infirmary Victoria University Hospital"," 0-15",2247
2014,"Jan","South Infirmary Victoria University Hospital","16-64",8891
2014,"Jan","South Infirmary Victoria University Hospital","65+",2390
2014,"Jan","South Tipperary General Hospital"," 0-15",192
2014,"Jan","South Tipperary General Hospital","16-64",1257
2014,"Jan","South Tipperary General Hospital","65+",418
2014,"Jan","St. Columcille's Hospital"," 0-15",5
2014,"Jan","St. Columcille's Hospital","16-64",1742
2014,"Jan","St. Columcille's Hospital","65+",424
2014,"Jan","St. James's Hospital"," 0-15",86
2014,"Jan","St. James's Hospital","16-64",7733
2014,"Jan","St. James's Hospital","65+",2008
2014,"Jan","St. John's Hospital Limerick"," 0-15",43
2014,"Jan","St. John's Hospital Limerick","16-64",823
2014,"Jan","St. John's Hospital Limerick","65+",212
2014,"Jan","St. Luke's General Hospital Kilkenny"," 0-15",240
2014,"Jan","St. Luke's General Hospital Kilkenny","16-64",1731
2014,"Jan","St. Luke's General Hospital Kilkenny","65+",549
2014,"Jan","St. Michael's Hospital Dun Laoghaire"," 0-15",375
2014,"Jan","St. Michael's Hospital Dun Laoghaire","16-64",1543
2014,"Jan","St. Michael's Hospital Dun Laoghaire","65+",618
2014,"Jan","St. Vincent's University Hospital"," 0-15",38
2014,"Jan","St. Vincent's University Hospital","16-64",7875
2014,"Jan","St. Vincent's University Hospital","65+",2674
2014,"Jan","Tallaght Hospital"," 0-15",4273
2014,"Jan","Tallaght Hospital","16-64",14307
2014,"Jan","Tallaght Hospital","65+",3202
2014,"Jan","University Hospital Limerick"," 0-15",1718
2014,"Jan","University Hospital Limerick","16-64",7196
2014,"Jan","University Hospital Limerick","65+",2705
2014,"Jan","University Hospital Waterford","NA",1
2014,"Jan","University Hospital Waterford"," 0-15",2077
2014,"Jan","University Hospital Waterford","16-64",10707
2014,"Jan","University Hospital Waterford","65+",4449
2014,"Jan","Wexford General Hospital","NA",3
2014,"Jan","Wexford General Hospital"," 0-15",478
2014,"Jan","Wexford General Hospital","16-64",1806
2014,"Jan","Wexford General Hospital","65+",535
2014,"Feb","Bantry General Hospital"," 0-15",17
2014,"Feb","Bantry General Hospital","16-64",423
2014,"Feb","Bantry General Hospital","65+",238
2014,"Feb","Beaumont Hospital","NA",19
2014,"Feb","Beaumont Hospital"," 0-15",367
2014,"Feb","Beaumont Hospital","16-64",15361
2014,"Feb","Beaumont Hospital","65+",4846
2014,"Feb","Cappagh National Orthopaedic Hospital"," 0-15",26
2014,"Feb","Cappagh National Orthopaedic Hospital","16-64",1160
2014,"Feb","Cappagh National Orthopaedic Hospital","65+",529
2014,"Feb","Cavan General Hospital"," 0-15",712
2014,"Feb","Cavan General Hospital","16-64",4007
2014,"Feb","Cavan General Hospital","65+",1181
2014,"Feb","Childrens University Hospital Temple Street"," 0-15",10016
2014,"Feb","Childrens University Hospital Temple Street","16-64",203
2014,"Feb","Childrens University Hospital Temple Street","65+",1
2014,"Feb","Connolly Hospital"," 0-15",13
2014,"Feb","Connolly Hospital","16-64",7091
2014,"Feb","Connolly Hospital","65+",1465
2014,"Feb","Cork University Hospital"," 0-15",2706
2014,"Feb","Cork University Hospital","16-64",11379
2014,"Feb","Cork University Hospital","65+",3299
2014,"Feb","Croom Orthopaedic Hospital"," 0-15",201
2014,"Feb","Croom Orthopaedic Hospital","16-64",1394
2014,"Feb","Croom Orthopaedic Hospital","65+",457
2014,"Feb","Ennis Hospital"," 0-15",419
2014,"Feb","Ennis Hospital","16-64",1491
2014,"Feb","Ennis Hospital","65+",529
2014,"Feb","Galway University Hospital"," 0-15",3151
2014,"Feb","Galway University Hospital","16-64",17733
2014,"Feb","Galway University Hospital","65+",5755
2014,"Feb","Kerry General Hospital"," 0-15",739
2014,"Feb","Kerry General Hospital","16-64",3939
2014,"Feb","Kerry General Hospital","65+",1163
2014,"Feb","Letterkenny General Hospital"," 0-15",1439
2014,"Feb","Letterkenny General Hospital","16-64",7410
2014,"Feb","Letterkenny General Hospital","65+",2440
2014,"Feb","Louth County Hospital"," 0-15",76
2014,"Feb","Louth County Hospital","16-64",913
2014,"Feb","Louth County Hospital","65+",489
2014,"Feb","Mallow General Hospital"," 0-15",198
2014,"Feb","Mallow General Hospital","16-64",1342
2014,"Feb","Mallow General Hospital","65+",528
2014,"Feb","Mater Misericordiae University Hospital"," 0-15",54
2014,"Feb","Mater Misericordiae University Hospital","16-64",15667
2014,"Feb","Mater Misericordiae University Hospital","65+",5353
2014,"Feb","Mayo General Hospital"," 0-15",1037
2014,"Feb","Mayo General Hospital","16-64",3103
2014,"Feb","Mayo General Hospital","65+",1247
2014,"Feb","Mercy University Hospital"," 0-15",496
2014,"Feb","Mercy University Hospital","16-64",3408
2014,"Feb","Mercy University Hospital","65+",1097
2014,"Feb","Midland Regional Hospital Mullingar"," 0-15",1111
2014,"Feb","Midland Regional Hospital Mullingar","16-64",3895
2014,"Feb","Midland Regional Hospital Mullingar","65+",989
2014,"Feb","Midland Regional Hospital Portlaoise"," 0-15",556
2014,"Feb","Midland Regional Hospital Portlaoise","16-64",2268
2014,"Feb","Midland Regional Hospital Portlaoise","65+",549
2014,"Feb","Midland Regional Hospital Tullamore"," 0-15",1450
2014,"Feb","Midland Regional Hospital Tullamore","16-64",5690
2014,"Feb","Midland Regional Hospital Tullamore","65+",1817
2014,"Feb","Naas General Hospital"," 0-15",9
2014,"Feb","Naas General Hospital","16-64",3734
2014,"Feb","Naas General Hospital","65+",1051
2014,"Feb","Nenagh Hospital"," 0-15",243
2014,"Feb","Nenagh Hospital","16-64",1245
2014,"Feb","Nenagh Hospital","65+",417
2014,"Feb","Our Lady of Lourdes Hospital Drogheda"," 0-15",2435
2014,"Feb","Our Lady of Lourdes Hospital Drogheda","16-64",5150
2014,"Feb","Our Lady of Lourdes Hospital Drogheda","65+",1391
2014,"Feb","Our Lady's Children's Hospital Crumlin"," 0-15",11854
2014,"Feb","Our Lady's Children's Hospital Crumlin","16-64",300
2014,"Feb","Our Lady's Children's Hospital Crumlin","65+",1
2014,"Feb","Our Lady's Hospital Navan"," 0-15",73
2014,"Feb","Our Lady's Hospital Navan","16-64",3199
2014,"Feb","Our Lady's Hospital Navan","65+",883
2014,"Feb","Portiuncula Hospital"," 0-15",501
2014,"Feb","Portiuncula Hospital","16-64",2072
2014,"Feb","Portiuncula Hospital","65+",594
2014,"Feb","Roscommon Hospital"," 0-15",170
2014,"Feb","Roscommon Hospital","16-64",1211
2014,"Feb","Roscommon Hospital","65+",588
2014,"Feb","Royal Victoria Eye and Ear Hospital"," 0-15",784
2014,"Feb","Royal Victoria Eye and Ear Hospital","16-64",3945
2014,"Feb","Royal Victoria Eye and Ear Hospital","65+",2504
2014,"Feb","Sligo Regional Hospital"," 0-15",1294
2014,"Feb","Sligo Regional Hospital","16-64",5814
2014,"Feb","Sligo Regional Hospital","65+",2650
2014,"Feb","South Infirmary Victoria University Hospital"," 0-15",2339
2014,"Feb","South Infirmary Victoria University Hospital","16-64",9276
2014,"Feb","South Infirmary Victoria University Hospital","65+",2542
2014,"Feb","South Tipperary General Hospital"," 0-15",220
2014,"Feb","South Tipperary General Hospital","16-64",1345
2014,"Feb","South Tipperary General Hospital","65+",490
2014,"Feb","St. Columcille's Hospital"," 0-15",7
2014,"Feb","St. Columcille's Hospital","16-64",1773
2014,"Feb","St. Columcille's Hospital","65+",449
2014,"Feb","St. James's Hospital"," 0-15",81
2014,"Feb","St. James's Hospital","16-64",7907
2014,"Feb","St. James's Hospital","65+",2021
2014,"Feb","St. John's Hospital Limerick"," 0-15",42
2014,"Feb","St. John's Hospital Limerick","16-64",818
2014,"Feb","St. John's Hospital Limerick","65+",196
2014,"Feb","St. Luke's General Hospital Kilkenny"," 0-15",226
2014,"Feb","St. Luke's General Hospital Kilkenny","16-64",1727
2014,"Feb","St. Luke's General Hospital Kilkenny","65+",567
2014,"Feb","St. Michael's Hospital Dun Laoghaire"," 0-15",377
2014,"Feb","St. Michael's Hospital Dun Laoghaire","16-64",1563
2014,"Feb","St. Michael's Hospital Dun Laoghaire","65+",656
2014,"Feb","St. Vincent's University Hospital"," 0-15",45
2014,"Feb","St. Vincent's University Hospital","16-64",8329
2014,"Feb","St. Vincent's University Hospital","65+",2705
2014,"Feb","Tallaght Hospital"," 0-15",4355
2014,"Feb","Tallaght Hospital","16-64",15353
2014,"Feb","Tallaght Hospital","65+",3380
2014,"Feb","University Hospital Limerick"," 0-15",1816
2014,"Feb","University Hospital Limerick","16-64",7447
2014,"Feb","University Hospital Limerick","65+",2776
2014,"Feb","University Hospital Waterford","NA",1
2014,"Feb","University Hospital Waterford"," 0-15",2311
2014,"Feb","University Hospital Waterford","16-64",11698
2014,"Feb","University Hospital Waterford","65+",4798
2014,"Feb","Wexford General Hospital","NA",2
2014,"Feb","Wexford General Hospital"," 0-15",486
2014,"Feb","Wexford General Hospital","16-64",1850
2014,"Feb","Wexford General Hospital","65+",566
2014,"Mar","Bantry General Hospital"," 0-15",16
2014,"Mar","Bantry General Hospital","16-64",415
2014,"Mar","Bantry General Hospital","65+",237
2014,"Mar","Beaumont Hospital","NA",18
2014,"Mar","Beaumont Hospital"," 0-15",391
2014,"Mar","Beaumont Hospital","16-64",15900
2014,"Mar","Beaumont Hospital","65+",4995
2014,"Mar","Cappagh National Orthopaedic Hospital"," 0-15",23
2014,"Mar","Cappagh National Orthopaedic Hospital","16-64",1117
2014,"Mar","Cappagh National Orthopaedic Hospital","65+",552
2014,"Mar","Cavan General Hospital"," 0-15",748
2014,"Mar","Cavan General Hospital","16-64",4223
2014,"Mar","Cavan General Hospital","65+",1230
2014,"Mar","Childrens University Hospital Temple Street"," 0-15",10196
2014,"Mar","Childrens University Hospital Temple Street","16-64",199
2014,"Mar","Childrens University Hospital Temple Street","65+",1
2014,"Mar","Connolly Hospital"," 0-15",15
2014,"Mar","Connolly Hospital","16-64",7090
2014,"Mar","Connolly Hospital","65+",1476
2014,"Mar","Cork University Hospital"," 0-15",2811
2014,"Mar","Cork University Hospital","16-64",11744
2014,"Mar","Cork University Hospital","65+",3497
2014,"Mar","Croom Orthopaedic Hospital"," 0-15",198
2014,"Mar","Croom Orthopaedic Hospital","16-64",1528
2014,"Mar","Croom Orthopaedic Hospital","65+",516
2014,"Mar","Ennis Hospital"," 0-15",425
2014,"Mar","Ennis Hospital","16-64",1487
2014,"Mar","Ennis Hospital","65+",508
2014,"Mar","Galway University Hospital"," 0-15",3252
2014,"Mar","Galway University Hospital","16-64",18427
2014,"Mar","Galway University Hospital","65+",5804
2014,"Mar","Kerry General Hospital"," 0-15",752
2014,"Mar","Kerry General Hospital","16-64",4105
2014,"Mar","Kerry General Hospital","65+",1256
2014,"Mar","Letterkenny General Hospital"," 0-15",1490
2014,"Mar","Letterkenny General Hospital","16-64",7581
2014,"Mar","Letterkenny General Hospital","65+",2524
2014,"Mar","Louth County Hospital"," 0-15",86
2014,"Mar","Louth County Hospital","16-64",945
2014,"Mar","Louth County Hospital","65+",525
2014,"Mar","Mallow General Hospital"," 0-15",198
2014,"Mar","Mallow General Hospital","16-64",1350
2014,"Mar","Mallow General Hospital","65+",537
2014,"Mar","Mater Misericordiae University Hospital"," 0-15",50
2014,"Mar","Mater Misericordiae University Hospital","16-64",15477
2014,"Mar","Mater Misericordiae University Hospital","65+",5308
2014,"Mar","Mayo General Hospital"," 0-15",1081
2014,"Mar","Mayo General Hospital","16-64",3166
2014,"Mar","Mayo General Hospital","65+",1234
2014,"Mar","Mercy University Hospital"," 0-15",520
2014,"Mar","Mercy University Hospital","16-64",3550
2014,"Mar","Mercy University Hospital","65+",1140
2014,"Mar","Midland Regional Hospital Mullingar"," 0-15",1118
2014,"Mar","Midland Regional Hospital Mullingar","16-64",3994
2014,"Mar","Midland Regional Hospital Mullingar","65+",983
2014,"Mar","Midland Regional Hospital Portlaoise"," 0-15",582
2014,"Mar","Midland Regional Hospital Portlaoise","16-64",2240
2014,"Mar","Midland Regional Hospital Portlaoise","65+",585
2014,"Mar","Midland Regional Hospital Tullamore"," 0-15",1518
2014,"Mar","Midland Regional Hospital Tullamore","16-64",5829
2014,"Mar","Midland Regional Hospital Tullamore","65+",1873
2014,"Mar","Naas General Hospital"," 0-15",6
2014,"Mar","Naas General Hospital","16-64",3876
2014,"Mar","Naas General Hospital","65+",1124
2014,"Mar","Nenagh Hospital"," 0-15",234
2014,"Mar","Nenagh Hospital","16-64",1134
2014,"Mar","Nenagh Hospital","65+",392
2014,"Mar","Our Lady of Lourdes Hospital Drogheda"," 0-15",2381
2014,"Mar","Our Lady of Lourdes Hospital Drogheda","16-64",5317
2014,"Mar","Our Lady of Lourdes Hospital Drogheda","65+",1385
2014,"Mar","Our Lady's Children's Hospital Crumlin"," 0-15",11926
2014,"Mar","Our Lady's Children's Hospital Crumlin","16-64",311
2014,"Mar","Our Lady's Hospital Navan"," 0-15",36
2014,"Mar","Our Lady's Hospital Navan","16-64",3259
2014,"Mar","Our Lady's Hospital Navan","65+",876
2014,"Mar","Portiuncula Hospital"," 0-15",516
2014,"Mar","Portiuncula Hospital","16-64",2082
2014,"Mar","Portiuncula Hospital","65+",577
2014,"Mar","Roscommon Hospital"," 0-15",196
2014,"Mar","Roscommon Hospital","16-64",1254
2014,"Mar","Roscommon Hospital","65+",613
2014,"Mar","Royal Victoria Eye and Ear Hospital"," 0-15",817
2014,"Mar","Royal Victoria Eye and Ear Hospital","16-64",4159
2014,"Mar","Royal Victoria Eye and Ear Hospital","65+",2628
2014,"Mar","Sligo Regional Hospital"," 0-15",1277
2014,"Mar","Sligo Regional Hospital","16-64",5918
2014,"Mar","Sligo Regional Hospital","65+",2697
2014,"Mar","South Infirmary Victoria University Hospital"," 0-15",2354
2014,"Mar","South Infirmary Victoria University Hospital","16-64",9105
2014,"Mar","South Infirmary Victoria University Hospital","65+",2569
2014,"Mar","South Tipperary General Hospital"," 0-15",218
2014,"Mar","South Tipperary General Hospital","16-64",1252
2014,"Mar","South Tipperary General Hospital","65+",464
2014,"Mar","St. Columcille's Hospital"," 0-15",3
2014,"Mar","St. Columcille's Hospital","16-64",1715
2014,"Mar","St. Columcille's Hospital","65+",449
2014,"Mar","St. James's Hospital"," 0-15",98
2014,"Mar","St. James's Hospital","16-64",8127
2014,"Mar","St. James's Hospital","65+",2135
2014,"Mar","St. John's Hospital Limerick"," 0-15",34
2014,"Mar","St. John's Hospital Limerick","16-64",831
2014,"Mar","St. John's Hospital Limerick","65+",193
2014,"Mar","St. Luke's General Hospital Kilkenny"," 0-15",231
2014,"Mar","St. Luke's General Hospital Kilkenny","16-64",1712
2014,"Mar","St. Luke's General Hospital Kilkenny","65+",553
2014,"Mar","St. Michael's Hospital Dun Laoghaire"," 0-15",366
2014,"Mar","St. Michael's Hospital Dun Laoghaire","16-64",1538
2014,"Mar","St. Michael's Hospital Dun Laoghaire","65+",671
2014,"Mar","St. Vincent's University Hospital"," 0-15",50
2014,"Mar","St. Vincent's University Hospital","16-64",8695
2014,"Mar","St. Vincent's University Hospital","65+",2944
2014,"Mar","Tallaght Hospital"," 0-15",4671
2014,"Mar","Tallaght Hospital","16-64",16173
2014,"Mar","Tallaght Hospital","65+",3563
2014,"Mar","University Hospital Limerick"," 0-15",1868
2014,"Mar","University Hospital Limerick","16-64",7668
2014,"Mar","University Hospital Limerick","65+",2797
2014,"Mar","University Hospital Waterford","NA",1
2014,"Mar","University Hospital Waterford"," 0-15",2520
2014,"Mar","University Hospital Waterford","16-64",12605
2014,"Mar","University Hospital Waterford","65+",5122
2014,"Mar","Wexford General Hospital"," 0-15",372
2014,"Mar","Wexford General Hospital","16-64",1575
2014,"Mar","Wexford General Hospital","65+",412
2014,"Apr","Bantry General Hospital"," 0-15",14
2014,"Apr","Bantry General Hospital","16-64",455
2014,"Apr","Bantry General Hospital","65+",266
2014,"Apr","Beaumont Hospital","NA",16
2014,"Apr","Beaumont Hospital"," 0-15",376
2014,"Apr","Beaumont Hospital","16-64",15978
2014,"Apr","Beaumont Hospital","65+",4859
2014,"Apr","Cappagh National Orthopaedic Hospital"," 0-15",25
2014,"Apr","Cappagh National Orthopaedic Hospital","16-64",1098
2014,"Apr","Cappagh National Orthopaedic Hospital","65+",539
2014,"Apr","Cavan General Hospital"," 0-15",779
2014,"Apr","Cavan General Hospital","16-64",4263
2014,"Apr","Cavan General Hospital","65+",1262
2014,"Apr","Childrens University Hospital Temple Street"," 0-15",9648
2014,"Apr","Childrens University Hospital Temple Street","16-64",187
2014,"Apr","Childrens University Hospital Temple Street","65+",1
2014,"Apr","Connolly Hospital"," 0-15",13
2014,"Apr","Connolly Hospital","16-64",7003
2014,"Apr","Connolly Hospital","65+",1461
2014,"Apr","Cork University Hospital"," 0-15",2935
2014,"Apr","Cork University Hospital","16-64",12348
2014,"Apr","Cork University Hospital","65+",3649
2014,"Apr","Croom Orthopaedic Hospital"," 0-15",191
2014,"Apr","Croom Orthopaedic Hospital","16-64",1657
2014,"Apr","Croom Orthopaedic Hospital","65+",535
2014,"Apr","Ennis Hospital"," 0-15",433
2014,"Apr","Ennis Hospital","16-64",1482
2014,"Apr","Ennis Hospital","65+",516
2014,"Apr","Galway University Hospital"," 0-15",3389
2014,"Apr","Galway University Hospital","16-64",19006
2014,"Apr","Galway University Hospital","65+",6020
2014,"Apr","Kerry General Hospital"," 0-15",829
2014,"Apr","Kerry General Hospital","16-64",4545
2014,"Apr","Kerry General Hospital","65+",1413
2014,"Apr","Letterkenny General Hospital"," 0-15",1494
2014,"Apr","Letterkenny General Hospital","16-64",7798
2014,"Apr","Letterkenny General Hospital","65+",2608
2014,"Apr","Louth County Hospital"," 0-15",87
2014,"Apr","Louth County Hospital","16-64",986
2014,"Apr","Louth County Hospital","65+",501
2014,"Apr","Mallow General Hospital"," 0-15",212
2014,"Apr","Mallow General Hospital","16-64",1370
2014,"Apr","Mallow General Hospital","65+",523
2014,"Apr","Mater Misericordiae University Hospital"," 0-15",52
2014,"Apr","Mater Misericordiae University Hospital","16-64",14872
2014,"Apr","Mater Misericordiae University Hospital","65+",4546
2014,"Apr","Mayo General Hospital"," 0-15",1082
2014,"Apr","Mayo General Hospital","16-64",3221
2014,"Apr","Mayo General Hospital","65+",1274
2014,"Apr","Mercy University Hospital"," 0-15",510
2014,"Apr","Mercy University Hospital","16-64",3629
2014,"Apr","Mercy University Hospital","65+",1141
2014,"Apr","Midland Regional Hospital Mullingar"," 0-15",1126
2014,"Apr","Midland Regional Hospital Mullingar","16-64",3972
2014,"Apr","Midland Regional Hospital Mullingar","65+",982
2014,"Apr","Midland Regional Hospital Portlaoise"," 0-15",587
2014,"Apr","Midland Regional Hospital Portlaoise","16-64",2319
2014,"Apr","Midland Regional Hospital Portlaoise","65+",598
2014,"Apr","Midland Regional Hospital Tullamore"," 0-15",1645
2014,"Apr","Midland Regional Hospital Tullamore","16-64",6278
2014,"Apr","Midland Regional Hospital Tullamore","65+",1978
2014,"Apr","Naas General Hospital"," 0-15",11
2014,"Apr","Naas General Hospital","16-64",3946
2014,"Apr","Naas General Hospital","65+",1126
2014,"Apr","Nenagh Hospital"," 0-15",237
2014,"Apr","Nenagh Hospital","16-64",1013
2014,"Apr","Nenagh Hospital","65+",361
2014,"Apr","Our Lady of Lourdes Hospital Drogheda"," 0-15",2485
2014,"Apr","Our Lady of Lourdes Hospital Drogheda","16-64",5400
2014,"Apr","Our Lady of Lourdes Hospital Drogheda","65+",1398
2014,"Apr","Our Lady's Children's Hospital Crumlin"," 0-15",12364
2014,"Apr","Our Lady's Children's Hospital Crumlin","16-64",326
2014,"Apr","Our Lady's Hospital Navan"," 0-15",34
2014,"Apr","Our Lady's Hospital Navan","16-64",3295
2014,"Apr","Our Lady's Hospital Navan","65+",887
2014,"Apr","Portiuncula Hospital"," 0-15",508
2014,"Apr","Portiuncula Hospital","16-64",2142
2014,"Apr","Portiuncula Hospital","65+",593
2014,"Apr","Roscommon Hospital"," 0-15",200
2014,"Apr","Roscommon Hospital","16-64",1193
2014,"Apr","Roscommon Hospital","65+",559
2014,"Apr","Royal Victoria Eye and Ear Hospital"," 0-15",868
2014,"Apr","Royal Victoria Eye and Ear Hospital","16-64",4403
2014,"Apr","Royal Victoria Eye and Ear Hospital","65+",2729
2014,"Apr","Sligo Regional Hospital"," 0-15",1329
2014,"Apr","Sligo Regional Hospital","16-64",6141
2014,"Apr","Sligo Regional Hospital","65+",2760
2014,"Apr","South Infirmary Victoria University Hospital"," 0-15",2320
2014,"Apr","South Infirmary Victoria University Hospital","16-64",9072
2014,"Apr","South Infirmary Victoria University Hospital","65+",2554
2014,"Apr","South Tipperary General Hospital"," 0-15",187
2014,"Apr","South Tipperary General Hospital","16-64",1305
2014,"Apr","South Tipperary General Hospital","65+",486
2014,"Apr","St. Columcille's Hospital"," 0-15",4
2014,"Apr","St. Columcille's Hospital","16-64",1719
2014,"Apr","St. Columcille's Hospital","65+",468
2014,"Apr","St. James's Hospital"," 0-15",75
2014,"Apr","St. James's Hospital","16-64",8187
2014,"Apr","St. James's Hospital","65+",2209
2014,"Apr","St. John's Hospital Limerick"," 0-15",30
2014,"Apr","St. John's Hospital Limerick","16-64",816
2014,"Apr","St. John's Hospital Limerick","65+",197
2014,"Apr","St. Luke's General Hospital Kilkenny"," 0-15",208
2014,"Apr","St. Luke's General Hospital Kilkenny","16-64",1621
2014,"Apr","St. Luke's General Hospital Kilkenny","65+",511
2014,"Apr","St. Michael's Hospital Dun Laoghaire"," 0-15",345
2014,"Apr","St. Michael's Hospital Dun Laoghaire","16-64",1569
2014,"Apr","St. Michael's Hospital Dun Laoghaire","65+",689
2014,"Apr","St. Vincent's University Hospital"," 0-15",51
2014,"Apr","St. Vincent's University Hospital","16-64",8741
2014,"Apr","St. Vincent's University Hospital","65+",3010
2014,"Apr","Tallaght Hospital"," 0-15",5029
2014,"Apr","Tallaght Hospital","16-64",17909
2014,"Apr","Tallaght Hospital","65+",3866
2014,"Apr","University Hospital Limerick"," 0-15",1971
2014,"Apr","University Hospital Limerick","16-64",7884
2014,"Apr","University Hospital Limerick","65+",2900
2014,"Apr","University Hospital Waterford","NA",1
2014,"Apr","University Hospital Waterford"," 0-15",2628
2014,"Apr","University Hospital Waterford","16-64",13244
2014,"Apr","University Hospital Waterford","65+",5441
2014,"Apr","Wexford General Hospital"," 0-15",437
2014,"Apr","Wexford General Hospital","16-64",1842
2014,"Apr","Wexford General Hospital","65+",527
2014,"May","Bantry General Hospital"," 0-15",15
2014,"May","Bantry General Hospital","16-64",478
2014,"May","Bantry General Hospital","65+",258
2014,"May","Beaumont Hospital","NA",15
2014,"May","Beaumont Hospital"," 0-15",360
2014,"May","Beaumont Hospital","16-64",15554
2014,"May","Beaumont Hospital","65+",4790
2014,"May","Cappagh National Orthopaedic Hospital"," 0-15",26
