"Year","Month","Hospital","Time.Bands","TotalPatients"
2014,"Jan","Croom Orthopaedic Hospital"," 0-3 Months",833
2014,"Jan","Croom Orthopaedic Hospital"," 3-6 Months",513
2014,"Jan","Croom Orthopaedic Hospital"," 6-9 Months",571
2014,"Jan","Croom Orthopaedic Hospital"," 9-12 Months",223
2014,"Jan","Croom Orthopaedic Hospital","12-15 Months",29
2014,"Jan","Croom Orthopaedic Hospital","15-18 Months",2
2014,"Jan","Croom Orthopaedic Hospital","18+ Months",4
2014,"Jan","Ennis Hospital"," 0-3 Months",885
2014,"Jan","Ennis Hospital"," 3-6 Months",637
2014,"Jan","Ennis Hospital"," 6-9 Months",566
2014,"Jan","Ennis Hospital"," 9-12 Months",234
2014,"Jan","Ennis Hospital","12-15 Months",23
2014,"Jan","Galway University Hospital"," 0-3 Months",7625
2014,"Jan","Galway University Hospital"," 3-6 Months",6119
2014,"Jan","Galway University Hospital"," 6-9 Months",4528
2014,"Jan","Galway University Hospital"," 9-12 Months",3007
2014,"Jan","Galway University Hospital","12-15 Months",849
2014,"Jan","Galway University Hospital","15-18 Months",458
2014,"Jan","Galway University Hospital","18+ Months",908
2014,"Jan","Kerry General Hospital"," 0-3 Months",2126
2014,"Jan","Kerry General Hospital"," 3-6 Months",1838
2014,"Jan","Kerry General Hospital"," 6-9 Months",1057
2014,"Jan","Kerry General Hospital"," 9-12 Months",595
2014,"Jan","Kerry General Hospital","12-15 Months",56
2014,"Jan","Kerry General Hospital","15-18 Months",1
2014,"Jan","Kerry General Hospital","18+ Months",5
2014,"Jan","Letterkenny General Hospital"," 0-3 Months",4020
2014,"Jan","Letterkenny General Hospital"," 3-6 Months",2494
2014,"Jan","Letterkenny General Hospital"," 6-9 Months",2205
2014,"Jan","Letterkenny General Hospital"," 9-12 Months",1491
2014,"Jan","Letterkenny General Hospital","12-15 Months",353
2014,"Jan","Letterkenny General Hospital","15-18 Months",155
2014,"Jan","Letterkenny General Hospital","18+ Months",247
2014,"Jan","Louth County Hospital"," 0-3 Months",607
2014,"Jan","Louth County Hospital"," 3-6 Months",370
2014,"Jan","Louth County Hospital"," 6-9 Months",295
2014,"Jan","Louth County Hospital"," 9-12 Months",156
2014,"Jan","Louth County Hospital","12-15 Months",26
2014,"Jan","Mallow General Hospital"," 0-3 Months",908
2014,"Jan","Mallow General Hospital"," 3-6 Months",606
2014,"Jan","Mallow General Hospital"," 6-9 Months",211
2014,"Jan","Mallow General Hospital"," 9-12 Months",80
2014,"Jan","Mallow General Hospital","12-15 Months",14
2014,"Jan","Mallow General Hospital","15-18 Months",29
2014,"Jan","Mallow General Hospital","18+ Months",88
2014,"Jan","Mater Misericordiae University Hospital"," 0-3 Months",11201
2014,"Jan","Mater Misericordiae University Hospital"," 3-6 Months",5585
2014,"Jan","Mater Misericordiae University Hospital"," 6-9 Months",3378
2014,"Jan","Mater Misericordiae University Hospital"," 9-12 Months",1506
2014,"Jan","Mater Misericordiae University Hospital","12-15 Months",164
2014,"Jan","Mayo General Hospital"," 0-3 Months",1992
2014,"Jan","Mayo General Hospital"," 3-6 Months",1024
2014,"Jan","Mayo General Hospital"," 6-9 Months",680
2014,"Jan","Mayo General Hospital"," 9-12 Months",356
2014,"Jan","Mayo General Hospital","12-15 Months",159
2014,"Jan","Mayo General Hospital","15-18 Months",78
2014,"Jan","Mayo General Hospital","18+ Months",193
2014,"Jan","Mercy University Hospital"," 0-3 Months",2384
2014,"Jan","Mercy University Hospital"," 3-6 Months",1339
2014,"Jan","Mercy University Hospital"," 6-9 Months",779
2014,"Jan","Mercy University Hospital"," 9-12 Months",274
2014,"Jan","Mercy University Hospital","12-15 Months",26
2014,"Jan","Mercy University Hospital","15-18 Months",3
2014,"Jan","Mercy University Hospital","18+ Months",4
2014,"Jan","Midland Regional Hospital Mullingar"," 0-3 Months",3012
2014,"Jan","Midland Regional Hospital Mullingar"," 3-6 Months",1505
2014,"Jan","Midland Regional Hospital Mullingar"," 6-9 Months",938
2014,"Jan","Midland Regional Hospital Mullingar"," 9-12 Months",564
2014,"Jan","Midland Regional Hospital Mullingar","12-15 Months",106
2014,"Jan","Midland Regional Hospital Mullingar","15-18 Months",3
2014,"Jan","Midland Regional Hospital Portlaoise"," 0-3 Months",1369
2014,"Jan","Midland Regional Hospital Portlaoise"," 3-6 Months",1048
2014,"Jan","Midland Regional Hospital Portlaoise"," 6-9 Months",589
2014,"Jan","Midland Regional Hospital Portlaoise"," 9-12 Months",181
2014,"Jan","Midland Regional Hospital Tullamore"," 0-3 Months",2706
2014,"Jan","Midland Regional Hospital Tullamore"," 3-6 Months",2359
2014,"Jan","Midland Regional Hospital Tullamore"," 6-9 Months",2131
2014,"Jan","Midland Regional Hospital Tullamore"," 9-12 Months",1368
2014,"Jan","Midland Regional Hospital Tullamore","12-15 Months",186
2014,"Jan","Midland Regional Hospital Tullamore","18+ Months",4
2014,"Jan","Naas General Hospital"," 0-3 Months",2017
2014,"Jan","Naas General Hospital"," 3-6 Months",1171
2014,"Jan","Naas General Hospital"," 6-9 Months",1062
2014,"Jan","Naas General Hospital"," 9-12 Months",365
2014,"Jan","Naas General Hospital","12-15 Months",32
2014,"Jan","Naas General Hospital","15-18 Months",7
2014,"Jan","Naas General Hospital","18+ Months",1
2014,"Jan","Nenagh Hospital"," 0-3 Months",878
2014,"Jan","Nenagh Hospital"," 3-6 Months",412
2014,"Jan","Nenagh Hospital"," 6-9 Months",266
2014,"Jan","Nenagh Hospital"," 9-12 Months",182
2014,"Jan","Nenagh Hospital","12-15 Months",20
2014,"Jan","Nenagh Hospital","15-18 Months",1
2014,"Jan","Our Lady of Lourdes Hospital Drogheda"," 0-3 Months",3497
2014,"Jan","Our Lady of Lourdes Hospital Drogheda"," 3-6 Months",2205
2014,"Jan","Our Lady of Lourdes Hospital Drogheda"," 6-9 Months",1627
2014,"Jan","Our Lady of Lourdes Hospital Drogheda"," 9-12 Months",940
2014,"Jan","Our Lady of Lourdes Hospital Drogheda","12-15 Months",163
2014,"Jan","Our Lady's Children's Hospital Crumlin"," 0-3 Months",4886
2014,"Jan","Our Lady's Children's Hospital Crumlin"," 3-6 Months",2796
2014,"Jan","Our Lady's Children's Hospital Crumlin"," 6-9 Months",2158
2014,"Jan","Our Lady's Children's Hospital Crumlin"," 9-12 Months",1229
2014,"Jan","Our Lady's Children's Hospital Crumlin","12-15 Months",361
2014,"Jan","Our Lady's Children's Hospital Crumlin","15-18 Months",156
2014,"Jan","Our Lady's Children's Hospital Crumlin","18+ Months",378
2014,"Jan","Our Lady's Hospital Navan"," 0-3 Months",1738
2014,"Jan","Our Lady's Hospital Navan"," 3-6 Months",1076
2014,"Jan","Our Lady's Hospital Navan"," 6-9 Months",885
2014,"Jan","Our Lady's Hospital Navan"," 9-12 Months",473
2014,"Jan","Our Lady's Hospital Navan","12-15 Months",35
2014,"Jan","Portiuncula Hospital"," 0-3 Months",1243
2014,"Jan","Portiuncula Hospital"," 3-6 Months",816
2014,"Jan","Portiuncula Hospital"," 6-9 Months",607
2014,"Jan","Portiuncula Hospital"," 9-12 Months",297
2014,"Jan","Portiuncula Hospital","12-15 Months",50
2014,"Jan","Portiuncula Hospital","15-18 Months",3
2014,"Jan","Portiuncula Hospital","18+ Months",7
2014,"Jan","Roscommon Hospital"," 0-3 Months",463
2014,"Jan","Roscommon Hospital"," 3-6 Months",435
2014,"Jan","Roscommon Hospital"," 6-9 Months",249
2014,"Jan","Roscommon Hospital"," 9-12 Months",131
2014,"Jan","Roscommon Hospital","12-15 Months",54
2014,"Jan","Roscommon Hospital","15-18 Months",61
2014,"Jan","Roscommon Hospital","18+ Months",206
2014,"Jan","Royal Victoria Eye and Ear Hospital"," 0-3 Months",2646
2014,"Jan","Royal Victoria Eye and Ear Hospital"," 3-6 Months",1718
2014,"Jan","Royal Victoria Eye and Ear Hospital"," 6-9 Months",1484
2014,"Jan","Royal Victoria Eye and Ear Hospital"," 9-12 Months",957
2014,"Jan","Royal Victoria Eye and Ear Hospital","12-15 Months",121
2014,"Jan","Royal Victoria Eye and Ear Hospital","18+ Months",2
2014,"Jan","Sligo Regional Hospital"," 0-3 Months",3958
2014,"Jan","Sligo Regional Hospital"," 3-6 Months",2423
2014,"Jan","Sligo Regional Hospital"," 6-9 Months",1655
2014,"Jan","Sligo Regional Hospital"," 9-12 Months",989
2014,"Jan","Sligo Regional Hospital","12-15 Months",170
2014,"Jan","Sligo Regional Hospital","15-18 Months",82
2014,"Jan","Sligo Regional Hospital","18+ Months",92
2014,"Jan","South Infirmary Victoria University Hospital"," 0-3 Months",5497
2014,"Jan","South Infirmary Victoria University Hospital"," 3-6 Months",3412
2014,"Jan","South Infirmary Victoria University Hospital"," 6-9 Months",2638
2014,"Jan","South Infirmary Victoria University Hospital"," 9-12 Months",1369
2014,"Jan","South Infirmary Victoria University Hospital","12-15 Months",171
2014,"Jan","South Infirmary Victoria University Hospital","15-18 Months",92
2014,"Jan","South Infirmary Victoria University Hospital","18+ Months",349
2014,"Jan","South Tipperary General Hospital"," 0-3 Months",1231
2014,"Jan","South Tipperary General Hospital"," 3-6 Months",478
2014,"Jan","South Tipperary General Hospital"," 6-9 Months",124
2014,"Jan","South Tipperary General Hospital"," 9-12 Months",32
2014,"Jan","South Tipperary General Hospital","12-15 Months",2
2014,"Jan","St. Columcille's Hospital"," 0-3 Months",887
2014,"Jan","St. Columcille's Hospital"," 3-6 Months",506
2014,"Jan","St. Columcille's Hospital"," 6-9 Months",319
2014,"Jan","St. Columcille's Hospital"," 9-12 Months",133
2014,"Jan","St. Columcille's Hospital","12-15 Months",64
2014,"Jan","St. Columcille's Hospital","15-18 Months",41
2014,"Jan","St. Columcille's Hospital","18+ Months",221
2014,"Jan","St. James's Hospital"," 0-3 Months",6947
2014,"Jan","St. James's Hospital"," 3-6 Months",2058
2014,"Jan","St. James's Hospital"," 6-9 Months",645
2014,"Jan","St. James's Hospital"," 9-12 Months",163
2014,"Jan","St. James's Hospital","12-15 Months",14
2014,"Jan","St. John's Hospital Limerick"," 0-3 Months",676
2014,"Jan","St. John's Hospital Limerick"," 3-6 Months",317
2014,"Jan","St. John's Hospital Limerick"," 6-9 Months",80
2014,"Jan","St. John's Hospital Limerick"," 9-12 Months",5
2014,"Jan","St. Luke's General Hospital Kilkenny"," 0-3 Months",1553
2014,"Jan","St. Luke's General Hospital Kilkenny"," 3-6 Months",534
2014,"Jan","St. Luke's General Hospital Kilkenny"," 6-9 Months",306
2014,"Jan","St. Luke's General Hospital Kilkenny"," 9-12 Months",126
2014,"Jan","St. Luke's General Hospital Kilkenny","12-15 Months",1
2014,"Jan","St. Michael's Hospital Dun Laoghaire"," 0-3 Months",1353
2014,"Jan","St. Michael's Hospital Dun Laoghaire"," 3-6 Months",661
2014,"Jan","St. Michael's Hospital Dun Laoghaire"," 6-9 Months",362
2014,"Jan","St. Michael's Hospital Dun Laoghaire"," 9-12 Months",147
2014,"Jan","St. Michael's Hospital Dun Laoghaire","12-15 Months",12
2014,"Jan","St. Michael's Hospital Dun Laoghaire","15-18 Months",1
2014,"Jan","St. Vincent's University Hospital"," 0-3 Months",6476
2014,"Jan","St. Vincent's University Hospital"," 3-6 Months",2872
2014,"Jan","St. Vincent's University Hospital"," 6-9 Months",959
2014,"Jan","St. Vincent's University Hospital"," 9-12 Months",253
2014,"Jan","St. Vincent's University Hospital","12-15 Months",27
2014,"Jan","Tallaght Hospital"," 0-3 Months",7659
2014,"Jan","Tallaght Hospital"," 3-6 Months",5731
2014,"Jan","Tallaght Hospital"," 6-9 Months",4716
2014,"Jan","Tallaght Hospital"," 9-12 Months",3031
2014,"Jan","Tallaght Hospital","12-15 Months",621
2014,"Jan","Tallaght Hospital","15-18 Months",7
2014,"Jan","Tallaght Hospital","18+ Months",17
2014,"Jan","University Hospital Limerick"," 0-3 Months",5619
2014,"Jan","University Hospital Limerick"," 3-6 Months",2854
2014,"Jan","University Hospital Limerick"," 6-9 Months",1780
2014,"Jan","University Hospital Limerick"," 9-12 Months",1186
2014,"Jan","University Hospital Limerick","12-15 Months",173
2014,"Jan","University Hospital Limerick","15-18 Months",3
2014,"Jan","University Hospital Limerick","18+ Months",4
2014,"Jan","University Hospital Waterford"," 0-3 Months",5665
2014,"Jan","University Hospital Waterford"," 3-6 Months",4235
2014,"Jan","University Hospital Waterford"," 6-9 Months",4168
2014,"Jan","University Hospital Waterford"," 9-12 Months",2532
2014,"Jan","University Hospital Waterford","12-15 Months",634
2014,"Jan","Wexford General Hospital"," 0-3 Months",1569
2014,"Jan","Wexford General Hospital"," 3-6 Months",781
2014,"Jan","Wexford General Hospital"," 6-9 Months",301
2014,"Jan","Wexford General Hospital"," 9-12 Months",167
2014,"Jan","Wexford General Hospital","12-15 Months",2
2014,"Jan","Wexford General Hospital","18+ Months",2
2014,"Feb","Bantry General Hospital"," 0-3 Months",396
2014,"Feb","Bantry General Hospital"," 3-6 Months",187
2014,"Feb","Bantry General Hospital"," 6-9 Months",87
2014,"Feb","Bantry General Hospital"," 9-12 Months",7
2014,"Feb","Bantry General Hospital","12-15 Months",1
2014,"Feb","Beaumont Hospital"," 0-3 Months",8436
2014,"Feb","Beaumont Hospital"," 3-6 Months",6136
2014,"Feb","Beaumont Hospital"," 6-9 Months",3894
2014,"Feb","Beaumont Hospital"," 9-12 Months",2033
2014,"Feb","Beaumont Hospital","12-15 Months",92
2014,"Feb","Beaumont Hospital","18+ Months",2
2014,"Feb","Cappagh National Orthopaedic Hospital"," 0-3 Months",688
2014,"Feb","Cappagh National Orthopaedic Hospital"," 3-6 Months",497
2014,"Feb","Cappagh National Orthopaedic Hospital"," 6-9 Months",339
2014,"Feb","Cappagh National Orthopaedic Hospital"," 9-12 Months",179
2014,"Feb","Cappagh National Orthopaedic Hospital","12-15 Months",12
2014,"Feb","Cavan General Hospital"," 0-3 Months",2409
2014,"Feb","Cavan General Hospital"," 3-6 Months",1568
2014,"Feb","Cavan General Hospital"," 6-9 Months",1069
2014,"Feb","Cavan General Hospital"," 9-12 Months",730
2014,"Feb","Cavan General Hospital","12-15 Months",123
2014,"Feb","Cavan General Hospital","18+ Months",1
2014,"Feb","Childrens University Hospital Temple Street"," 0-3 Months",3926
2014,"Feb","Childrens University Hospital Temple Street"," 3-6 Months",2681
2014,"Feb","Childrens University Hospital Temple Street"," 6-9 Months",1824
2014,"Feb","Childrens University Hospital Temple Street"," 9-12 Months",1119
2014,"Feb","Childrens University Hospital Temple Street","12-15 Months",429
2014,"Feb","Childrens University Hospital Temple Street","15-18 Months",62
2014,"Feb","Childrens University Hospital Temple Street","18+ Months",179
2014,"Feb","Connolly Hospital"," 0-3 Months",3712
2014,"Feb","Connolly Hospital"," 3-6 Months",2077
2014,"Feb","Connolly Hospital"," 6-9 Months",1736
2014,"Feb","Connolly Hospital"," 9-12 Months",957
2014,"Feb","Connolly Hospital","12-15 Months",87
2014,"Feb","Cork University Hospital"," 0-3 Months",7510
2014,"Feb","Cork University Hospital"," 3-6 Months",4557
2014,"Feb","Cork University Hospital"," 6-9 Months",2943
2014,"Feb","Cork University Hospital"," 9-12 Months",1881
2014,"Feb","Cork University Hospital","12-15 Months",489
2014,"Feb","Cork University Hospital","15-18 Months",1
2014,"Feb","Cork University Hospital","18+ Months",3
2014,"Feb","Croom Orthopaedic Hospital"," 0-3 Months",781
2014,"Feb","Croom Orthopaedic Hospital"," 3-6 Months",577
2014,"Feb","Croom Orthopaedic Hospital"," 6-9 Months",410
2014,"Feb","Croom Orthopaedic Hospital"," 9-12 Months",229
2014,"Feb","Croom Orthopaedic Hospital","12-15 Months",54
2014,"Feb","Croom Orthopaedic Hospital","15-18 Months",1
2014,"Feb","Ennis Hospital"," 0-3 Months",909
2014,"Feb","Ennis Hospital"," 3-6 Months",696
2014,"Feb","Ennis Hospital"," 6-9 Months",519
2014,"Feb","Ennis Hospital"," 9-12 Months",267
2014,"Feb","Ennis Hospital","12-15 Months",41
2014,"Feb","Ennis Hospital","15-18 Months",3
2014,"Feb","Ennis Hospital","18+ Months",4
2014,"Feb","Galway University Hospital"," 0-3 Months",10300
2014,"Feb","Galway University Hospital"," 3-6 Months",6295
2014,"Feb","Galway University Hospital"," 6-9 Months",4264
2014,"Feb","Galway University Hospital"," 9-12 Months",3387
2014,"Feb","Galway University Hospital","12-15 Months",1186
2014,"Feb","Galway University Hospital","15-18 Months",399
2014,"Feb","Galway University Hospital","18+ Months",808
2014,"Feb","Kerry General Hospital"," 0-3 Months",2201
2014,"Feb","Kerry General Hospital"," 3-6 Months",1818
2014,"Feb","Kerry General Hospital"," 6-9 Months",1027
2014,"Feb","Kerry General Hospital"," 9-12 Months",708
2014,"Feb","Kerry General Hospital","12-15 Months",85
2014,"Feb","Kerry General Hospital","15-18 Months",2
2014,"Feb","Letterkenny General Hospital"," 0-3 Months",4007
2014,"Feb","Letterkenny General Hospital"," 3-6 Months",2684
2014,"Feb","Letterkenny General Hospital"," 6-9 Months",2056
2014,"Feb","Letterkenny General Hospital"," 9-12 Months",1575
2014,"Feb","Letterkenny General Hospital","12-15 Months",526
2014,"Feb","Letterkenny General Hospital","15-18 Months",143
2014,"Feb","Letterkenny General Hospital","18+ Months",298
2014,"Feb","Louth County Hospital"," 0-3 Months",614
2014,"Feb","Louth County Hospital"," 3-6 Months",414
2014,"Feb","Louth County Hospital"," 6-9 Months",274
2014,"Feb","Louth County Hospital"," 9-12 Months",132
2014,"Feb","Louth County Hospital","12-15 Months",44
2014,"Feb","Mallow General Hospital"," 0-3 Months",934
2014,"Feb","Mallow General Hospital"," 3-6 Months",662
2014,"Feb","Mallow General Hospital"," 6-9 Months",243
2014,"Feb","Mallow General Hospital"," 9-12 Months",99
2014,"Feb","Mallow General Hospital","12-15 Months",1
2014,"Feb","Mallow General Hospital","15-18 Months",35
2014,"Feb","Mallow General Hospital","18+ Months",94
2014,"Feb","Mater Misericordiae University Hospital"," 0-3 Months",10512
2014,"Feb","Mater Misericordiae University Hospital"," 3-6 Months",5437
2014,"Feb","Mater Misericordiae University Hospital"," 6-9 Months",3212
2014,"Feb","Mater Misericordiae University Hospital"," 9-12 Months",1664
2014,"Feb","Mater Misericordiae University Hospital","12-15 Months",248
2014,"Feb","Mater Misericordiae University Hospital","15-18 Months",1
2014,"Feb","Mayo General Hospital"," 0-3 Months",2662
2014,"Feb","Mayo General Hospital"," 3-6 Months",1144
2014,"Feb","Mayo General Hospital"," 6-9 Months",655
2014,"Feb","Mayo General Hospital"," 9-12 Months",430
2014,"Feb","Mayo General Hospital","12-15 Months",240
2014,"Feb","Mayo General Hospital","15-18 Months",89
2014,"Feb","Mayo General Hospital","18+ Months",167
2014,"Feb","Mercy University Hospital"," 0-3 Months",2358
2014,"Feb","Mercy University Hospital"," 3-6 Months",1445
2014,"Feb","Mercy University Hospital"," 6-9 Months",773
2014,"Feb","Mercy University Hospital"," 9-12 Months",372
2014,"Feb","Mercy University Hospital","12-15 Months",43
2014,"Feb","Mercy University Hospital","15-18 Months",6
2014,"Feb","Mercy University Hospital","18+ Months",4
2014,"Feb","Midland Regional Hospital Mullingar"," 0-3 Months",2704
2014,"Feb","Midland Regional Hospital Mullingar"," 3-6 Months",1550
2014,"Feb","Midland Regional Hospital Mullingar"," 6-9 Months",910
2014,"Feb","Midland Regional Hospital Mullingar"," 9-12 Months",642
2014,"Feb","Midland Regional Hospital Mullingar","12-15 Months",189
2014,"Feb","Midland Regional Hospital Portlaoise"," 0-3 Months",1478
2014,"Feb","Midland Regional Hospital Portlaoise"," 3-6 Months",1045
2014,"Feb","Midland Regional Hospital Portlaoise"," 6-9 Months",624
2014,"Feb","Midland Regional Hospital Portlaoise"," 9-12 Months",223
2014,"Feb","Midland Regional Hospital Portlaoise","12-15 Months",3
2014,"Feb","Midland Regional Hospital Tullamore"," 0-3 Months",2585
2014,"Feb","Midland Regional Hospital Tullamore"," 3-6 Months",2522
2014,"Feb","Midland Regional Hospital Tullamore"," 6-9 Months",2048
2014,"Feb","Midland Regional Hospital Tullamore"," 9-12 Months",1400
2014,"Feb","Midland Regional Hospital Tullamore","12-15 Months",393
2014,"Feb","Midland Regional Hospital Tullamore","15-18 Months",2
2014,"Feb","Midland Regional Hospital Tullamore","18+ Months",7
2014,"Feb","Naas General Hospital"," 0-3 Months",1960
2014,"Feb","Naas General Hospital"," 3-6 Months",1231
2014,"Feb","Naas General Hospital"," 6-9 Months",994
2014,"Feb","Naas General Hospital"," 9-12 Months",559
2014,"Feb","Naas General Hospital","12-15 Months",43
2014,"Feb","Naas General Hospital","15-18 Months",6
2014,"Feb","Naas General Hospital","18+ Months",1
2014,"Feb","Nenagh Hospital"," 0-3 Months",974
2014,"Feb","Nenagh Hospital"," 3-6 Months",431
2014,"Feb","Nenagh Hospital"," 6-9 Months",275
2014,"Feb","Nenagh Hospital"," 9-12 Months",190
2014,"Feb","Nenagh Hospital","12-15 Months",34
2014,"Feb","Nenagh Hospital","15-18 Months",1
2014,"Feb","Our Lady of Lourdes Hospital Drogheda"," 0-3 Months",3778
2014,"Feb","Our Lady of Lourdes Hospital Drogheda"," 3-6 Months",2331
2014,"Feb","Our Lady of Lourdes Hospital Drogheda"," 6-9 Months",1532
2014,"Feb","Our Lady of Lourdes Hospital Drogheda"," 9-12 Months",1036
2014,"Feb","Our Lady of Lourdes Hospital Drogheda","12-15 Months",299
2014,"Feb","Our Lady's Children's Hospital Crumlin"," 0-3 Months",4938
2014,"Feb","Our Lady's Children's Hospital Crumlin"," 3-6 Months",2870
2014,"Feb","Our Lady's Children's Hospital Crumlin"," 6-9 Months",1999
2014,"Feb","Our Lady's Children's Hospital Crumlin"," 9-12 Months",1389
2014,"Feb","Our Lady's Children's Hospital Crumlin","12-15 Months",514
2014,"Feb","Our Lady's Children's Hospital Crumlin","15-18 Months",126
2014,"Feb","Our Lady's Children's Hospital Crumlin","18+ Months",319
2014,"Feb","Our Lady's Hospital Navan"," 0-3 Months",1719
2014,"Feb","Our Lady's Hospital Navan"," 3-6 Months",1128
2014,"Feb","Our Lady's Hospital Navan"," 6-9 Months",798
2014,"Feb","Our Lady's Hospital Navan"," 9-12 Months",486
2014,"Feb","Our Lady's Hospital Navan","12-15 Months",24
2014,"Feb","Portiuncula Hospital"," 0-3 Months",1334
2014,"Feb","Portiuncula Hospital"," 3-6 Months",789
2014,"Feb","Portiuncula Hospital"," 6-9 Months",632
2014,"Feb","Portiuncula Hospital"," 9-12 Months",332
2014,"Feb","Portiuncula Hospital","12-15 Months",70
2014,"Feb","Portiuncula Hospital","15-18 Months",2
2014,"Feb","Portiuncula Hospital","18+ Months",8
2014,"Feb","Roscommon Hospital"," 0-3 Months",824
2014,"Feb","Roscommon Hospital"," 3-6 Months",412
2014,"Feb","Roscommon Hospital"," 6-9 Months",266
2014,"Feb","Roscommon Hospital"," 9-12 Months",144
2014,"Feb","Roscommon Hospital","12-15 Months",57
2014,"Feb","Roscommon Hospital","15-18 Months",58
2014,"Feb","Roscommon Hospital","18+ Months",208
2014,"Feb","Royal Victoria Eye and Ear Hospital"," 0-3 Months",2573
2014,"Feb","Royal Victoria Eye and Ear Hospital"," 3-6 Months",1733
2014,"Feb","Royal Victoria Eye and Ear Hospital"," 6-9 Months",1417
2014,"Feb","Royal Victoria Eye and Ear Hospital"," 9-12 Months",1256
2014,"Feb","Royal Victoria Eye and Ear Hospital","12-15 Months",246
2014,"Feb","Royal Victoria Eye and Ear Hospital","18+ Months",8
2014,"Feb","Sligo Regional Hospital"," 0-3 Months",4039
2014,"Feb","Sligo Regional Hospital"," 3-6 Months",2574
2014,"Feb","Sligo Regional Hospital"," 6-9 Months",1643
2014,"Feb","Sligo Regional Hospital"," 9-12 Months",1071
2014,"Feb","Sligo Regional Hospital","12-15 Months",290
2014,"Feb","Sligo Regional Hospital","15-18 Months",77
2014,"Feb","Sligo Regional Hospital","18+ Months",64
2014,"Feb","South Infirmary Victoria University Hospital"," 0-3 Months",5577
2014,"Feb","South Infirmary Victoria University Hospital"," 3-6 Months",3686
2014,"Feb","South Infirmary Victoria University Hospital"," 6-9 Months",2520
2014,"Feb","South Infirmary Victoria University Hospital"," 9-12 Months",1687
2014,"Feb","South Infirmary Victoria University Hospital","12-15 Months",268
2014,"Feb","South Infirmary Victoria University Hospital","15-18 Months",86
2014,"Feb","South Infirmary Victoria University Hospital","18+ Months",333
2014,"Feb","South Tipperary General Hospital"," 0-3 Months",1399
2014,"Feb","South Tipperary General Hospital"," 3-6 Months",485
2014,"Feb","South Tipperary General Hospital"," 6-9 Months",138
2014,"Feb","South Tipperary General Hospital"," 9-12 Months",31
2014,"Feb","South Tipperary General Hospital","12-15 Months",2
2014,"Feb","St. Columcille's Hospital"," 0-3 Months",893
2014,"Feb","St. Columcille's Hospital"," 3-6 Months",525
2014,"Feb","St. Columcille's Hospital"," 6-9 Months",299
2014,"Feb","St. Columcille's Hospital"," 9-12 Months",188
2014,"Feb","St. Columcille's Hospital","12-15 Months",72
2014,"Feb","St. Columcille's Hospital","15-18 Months",48
2014,"Feb","St. Columcille's Hospital","18+ Months",204
2014,"Feb","St. James's Hospital"," 0-3 Months",6949
2014,"Feb","St. James's Hospital"," 3-6 Months",2108
2014,"Feb","St. James's Hospital"," 6-9 Months",675
2014,"Feb","St. James's Hospital"," 9-12 Months",238
2014,"Feb","St. James's Hospital","12-15 Months",39
